site_name,site_code,sitetype,size_class,total,year,month,visibility,depth,method,block,species_name,common_name,latitude,longitude,Project
Ross Islets Slug Island,KCCA1,Kelp,15,5,2022,7,5,3.4,1,1,Hexagrammos decagrammus,Kelp greenling,48.87051773,-125.160347,RLSsfu
Ross Islets Slug Island,KCCA1,Kelp,20,3,2022,7,5,3.4,1,1,Hexagrammos decagrammus,Kelp greenling,48.87051773,-125.160347,RLSsfu
Ross Islets Slug Island,KCCA1,Kelp,25,2,2022,7,5,3.4,1,1,Hexagrammos decagrammus,Kelp greenling,48.87051773,-125.160347,RLSsfu
Ross Islets Slug Island,KCCA1,Kelp,5,2,2022,7,5,3.4,1,1,Hexagrammos spp.,Unidentified greenling,48.87051773,-125.160347,RLSsfu
Ross Islets Slug Island,KCCA1,Kelp,7.5,2,2022,7,5,3.4,1,1,Brachyistius frenatus,Kelp perch,48.87051773,-125.160347,RLSsfu
Ross Islets Slug Island,KCCA1,Kelp,12.5,5,2022,7,5,3.4,1,1,Rhacochilus vacca,Pile perch,48.87051773,-125.160347,RLSsfu
Ross Islets Slug Island,KCCA1,Kelp,15,4,2022,7,5,3.4,1,1,Rhacochilus vacca,Pile perch,48.87051773,-125.160347,RLSsfu
Ross Islets Slug Island,KCCA1,Kelp,10,20,2022,7,5,3.4,1,1,Cymatogaster aggregata,Shiner perch,48.87051773,-125.160347,RLSsfu
Ross Islets Slug Island,KCCA1,Kelp,12.5,65,2022,7,5,3.4,1,1,Cymatogaster aggregata,Shiner perch,48.87051773,-125.160347,RLSsfu
Ross Islets Slug Island,KCCA1,Kelp,10,1,2022,7,5,3.4,1,1,Cymatogaster aggregata,Shiner perch,48.87051773,-125.160347,RLSsfu
Ross Islets Slug Island,KCCA1,Kelp,2.5,200,2022,7,5,3.4,0,1,Clupea pallasii,Pacific Herring,48.87051773,-125.160347,RLSsfu
Ross Islets Slug Island,KCCA1,Kelp,5,400,2022,7,5,3.4,0,1,Clupea pallasii,Pacific Herring,48.87051773,-125.160347,RLSsfu
Ross Islets Slug Island,KCCA1,Kelp,12.5,1,2022,7,5,3.4,2,1,Apodichthys flavidus,Penpoint gunnel,48.87051773,-125.160347,RLSsfu
Ross Islets Slug Island,KCCA1,Kelp,10,1,2022,7,5,3.4,2,1,Pholis laeta,Crescent gunnel,48.87051773,-125.160347,RLSsfu
Ross Islets Slug Island,KCCA1,Kelp,5,1,2022,7,5,3.4,2,1,Jordania zonope,Longfin sculpin,48.87051773,-125.160347,RLSsfu
Between Scotts and Bradys,KCCA2,Kelp,5,2,2022,7,3.5,3.1,1,2,Rhacochilus vacca,Pile perch,48.83287,-125.1493,RLSsfu
Between Scotts and Bradys,KCCA2,Kelp,10,1,2022,7,3.5,3.1,1,2,Rhacochilus vacca,Pile perch,48.83287,-125.1493,RLSsfu
Between Scotts and Bradys,KCCA2,Kelp,12.5,2,2022,7,3.5,3.1,1,2,Rhacochilus vacca,Pile perch,48.83287,-125.1493,RLSsfu
Between Scotts and Bradys,KCCA2,Kelp,15,1,2022,7,3.5,3.1,1,2,Rhacochilus vacca,Pile perch,48.83287,-125.1493,RLSsfu
Between Scotts and Bradys,KCCA2,Kelp,20,1,2022,7,3.5,3.1,1,2,Rhacochilus vacca,Pile perch,48.83287,-125.1493,RLSsfu
Between Scotts and Bradys,KCCA2,Kelp,5,4,2022,7,3.5,3.1,1,2,Embiotoca lateralis,Striped seaperch,48.83287,-125.1493,RLSsfu
Between Scotts and Bradys,KCCA2,Kelp,7.5,1,2022,7,3.5,3.1,1,2,Embiotoca lateralis,Striped seaperch,48.83287,-125.1493,RLSsfu
Between Scotts and Bradys,KCCA2,Kelp,10,1,2022,7,3.5,3.1,1,2,Embiotoca lateralis,Striped seaperch,48.83287,-125.1493,RLSsfu
Between Scotts and Bradys,KCCA2,Kelp,15,1,2022,7,3.5,3.1,1,2,Embiotoca lateralis,Striped seaperch,48.83287,-125.1493,RLSsfu
Between Scotts and Bradys,KCCA2,Kelp,12.5,1,2022,7,3.5,3.1,1,2,Hexagrammos decagrammus,Kelp greenling,48.83287,-125.1493,RLSsfu
Between Scotts and Bradys,KCCA2,Kelp,15,1,2022,7,3.5,3.1,1,2,Hexagrammos decagrammus,Kelp greenling,48.83287,-125.1493,RLSsfu
Between Scotts and Bradys,KCCA2,Kelp,5,1,2022,7,3.5,3.1,1,2,Brachyistius frenatus,Kelp perch,48.83287,-125.1493,RLSsfu
Between Scotts and Bradys,KCCA2,Kelp,7.5,2,2022,7,3.5,3.1,1,2,Brachyistius frenatus,Kelp perch,48.83287,-125.1493,RLSsfu
Between Scotts and Bradys,KCCA2,Kelp,7.5,1,2022,7,3.5,3.1,1,2,Oxylebius pictus,Painted greenling,48.83287,-125.1493,RLSsfu
Between Scotts and Bradys,KCCA2,Kelp,12.5,1,2022,7,3.5,3.1,1,2,Oxylebius pictus,Painted greenling,48.83287,-125.1493,RLSsfu
Between Scotts and Bradys,KCCA2,Kelp,5,1,2022,7,3.5,3.1,1,2,Sebastes melanops,Black rockfish,48.83287,-125.1493,RLSsfu
Between Scotts and Bradys,KCCA2,Kelp,5,1,2022,7,3.5,3.1,1,2,Sebastes caurinus,Copper rockfish,48.83287,-125.1493,RLSsfu
Between Scotts and Bradys,KCCA2,Kelp,7.5,1,2022,7,3.5,3.1,1,2,Sebastes caurinus,Copper rockfish,48.83287,-125.1493,RLSsfu
Between Scotts and Bradys,KCCA2,Kelp,10,1,2022,7,3.5,3.1,1,2,Sebastes caurinus,Copper rockfish,48.83287,-125.1493,RLSsfu
Between Scotts and Bradys,KCCA2,Kelp,2.5,30,2022,7,3.5,3.1,1,2,Aulorhynchus flavidus,Tube-snout,48.83287,-125.1493,RLSsfu
Between Scotts and Bradys,KCCA2,Kelp,7.5,1,2022,7,3.5,3.1,2,2,Ascelichthys rhodorus,Rosylip sculpin,48.83287,-125.1493,RLSsfu
Between Scotts and Bradys,KCCA2,Kelp,5,1,2022,7,3.5,3.1,2,2,Rhinogobiops nicholsii,Blackeye goby,48.83287,-125.1493,RLSsfu
Between Scotts and Bradys,KCCA2,Kelp,5,1,2022,7,3.5,3.1,2,2,Artedius harringtoni,Scalyhead sculpin,48.83287,-125.1493,RLSsfu
Dodger Channel 1,KCCA3,Kelp,10,30,2022,7,2,2.2,1,1,Rhacochilus vacca,Pile perch,48.83072,-125.19439,RLSsfu
Dodger Channel 1,KCCA3,Kelp,12.5,2,2022,7,2,2.2,1,1,Rhacochilus vacca,Pile perch,48.83072,-125.19439,RLSsfu
Dodger Channel 1,KCCA3,Kelp,7.5,2,2022,7,2,2.2,1,1,Sebastes melanops,Black rockfish,48.83072,-125.19439,RLSsfu
Dodger Channel 1,KCCA3,Kelp,5,1,2022,7,2,2.2,1,1,Hexagrammos decagrammus,Kelp greenling,48.83072,-125.19439,RLSsfu
Dodger Channel 1,KCCA3,Kelp,10,2,2022,7,2,2.2,1,1,Hexagrammos decagrammus,Kelp greenling,48.83072,-125.19439,RLSsfu
Dodger Channel 1,KCCA3,Kelp,12.5,1,2022,7,2,2.2,1,1,Hexagrammos decagrammus,Kelp greenling,48.83072,-125.19439,RLSsfu
Dodger Channel 1,KCCA3,Kelp,15,1,2022,7,2,2.2,1,1,Hexagrammos decagrammus,Kelp greenling,48.83072,-125.19439,RLSsfu
Dodger Channel 1,KCCA3,Kelp,20,1,2022,7,2,2.2,1,1,Hexagrammos decagrammus,Kelp greenling,48.83072,-125.19439,RLSsfu
Dodger Channel 1,KCCA3,Kelp,2.5,400,2022,7,2,2.2,1,1,Clupea pallasii,Pacific Herring,48.83072,-125.19439,RLSsfu
Dodger Channel 1,KCCA3,Kelp,2.5,1,2022,7,2,2.2,1,1,Sebastes spp.,Unidentified rockfish,48.83072,-125.19439,RLSsfu
Dodger Channel 1,KCCA3,Kelp,2.5,20,2022,7,2,2.2,1,1,Aulorhynchus flavidus,Tube-snout,48.83072,-125.19439,RLSsfu
Dodger Channel 1,KCCA3,Kelp,5,2,2022,7,2,2.2,2,1,Rhinogobiops nicholsii,Blackeye goby,48.83072,-125.19439,RLSsfu
Dodger Channel 1,KCCA3,Kelp,5,1,2022,7,2,2.2,2,1,Artedius harringtoni,Scalyhead sculpin,48.83072,-125.19439,RLSsfu
Flemming 112,KCCA4,Kelp,5,3,2022,7,2,3.4,1,1,Sebastes caurinus,Copper rockfish,48.87868,-125.1434,RLSsfu
Flemming 112,KCCA4,Kelp,7.5,9,2022,7,2,3.4,1,1,Sebastes caurinus,Copper rockfish,48.87868,-125.1434,RLSsfu
Flemming 112,KCCA4,Kelp,10,8,2022,7,2,3.4,1,1,Sebastes caurinus,Copper rockfish,48.87868,-125.1434,RLSsfu
Flemming 112,KCCA4,Kelp,12.5,2,2022,7,2,3.4,1,1,Sebastes caurinus,Copper rockfish,48.87868,-125.1434,RLSsfu
Flemming 112,KCCA4,Kelp,5,1,2022,7,2,3.4,1,1,Hexagrammos decagrammus,Kelp greenling,48.87868,-125.1434,RLSsfu
Flemming 112,KCCA4,Kelp,7.5,3,2022,7,2,3.4,1,1,Hexagrammos decagrammus,Kelp greenling,48.87868,-125.1434,RLSsfu
Flemming 112,KCCA4,Kelp,10,3,2022,7,2,3.4,1,1,Hexagrammos decagrammus,Kelp greenling,48.87868,-125.1434,RLSsfu
Flemming 112,KCCA4,Kelp,15,4,2022,7,2,3.4,1,1,Hexagrammos decagrammus,Kelp greenling,48.87868,-125.1434,RLSsfu
Flemming 112,KCCA4,Kelp,20,3,2022,7,2,3.4,1,1,Hexagrammos decagrammus,Kelp greenling,48.87868,-125.1434,RLSsfu
Flemming 112,KCCA4,Kelp,7.5,2,2022,7,2,3.4,1,1,Sebastes melanops,Black rockfish,48.87868,-125.1434,RLSsfu
Flemming 112,KCCA4,Kelp,10,3,2022,7,2,3.4,1,1,Sebastes melanops,Black rockfish,48.87868,-125.1434,RLSsfu
Flemming 112,KCCA4,Kelp,12.5,1,2022,7,2,3.4,1,1,Sebastes melanops,Black rockfish,48.87868,-125.1434,RLSsfu
Flemming 112,KCCA4,Kelp,2.5,60,2022,7,2,3.4,1,1,Rhinogobiops nicholsii,Blackeye goby,48.87868,-125.1434,RLSsfu
Flemming 112,KCCA4,Kelp,5,50,2022,7,2,3.4,1,1,Rhinogobiops nicholsii,Blackeye goby,48.87868,-125.1434,RLSsfu
Flemming 112,KCCA4,Kelp,7.5,45,2022,7,2,3.4,1,1,Rhinogobiops nicholsii,Blackeye goby,48.87868,-125.1434,RLSsfu
Flemming 112,KCCA4,Kelp,10,10,2022,7,2,3.4,1,1,Rhinogobiops nicholsii,Blackeye goby,48.87868,-125.1434,RLSsfu
Flemming 112,KCCA4,Kelp,10,1,2022,7,2,3.4,1,1,Rhacochilus vacca,Pile perch,48.87868,-125.1434,RLSsfu
Flemming 112,KCCA4,Kelp,10,1,2022,7,2,3.4,1,1,Sebastes maliger,Quillback rockfish,48.87868,-125.1434,RLSsfu
Flemming 112,KCCA4,Kelp,5,1,2022,7,2,3.4,1,2,Sebastes caurinus,Copper rockfish,48.87868,-125.1434,RLSsfu
Flemming 112,KCCA4,Kelp,7.5,3,2022,7,2,3.4,1,2,Sebastes caurinus,Copper rockfish,48.87868,-125.1434,RLSsfu
Flemming 112,KCCA4,Kelp,12.5,3,2022,7,2,3.4,1,2,Sebastes caurinus,Copper rockfish,48.87868,-125.1434,RLSsfu
Flemming 112,KCCA4,Kelp,15,3,2022,7,2,3.4,1,2,Sebastes caurinus,Copper rockfish,48.87868,-125.1434,RLSsfu
Flemming 112,KCCA4,Kelp,20,4,2022,7,2,3.4,1,2,Sebastes caurinus,Copper rockfish,48.87868,-125.1434,RLSsfu
Flemming 112,KCCA4,Kelp,15,3,2022,7,2,3.4,1,2,Hexagrammos decagrammus,Kelp greenling,48.87868,-125.1434,RLSsfu
Flemming 112,KCCA4,Kelp,20,2,2022,7,2,3.4,1,2,Hexagrammos decagrammus,Kelp greenling,48.87868,-125.1434,RLSsfu
Flemming 112,KCCA4,Kelp,30,2,2022,7,2,3.4,1,2,Hexagrammos decagrammus,Kelp greenling,48.87868,-125.1434,RLSsfu
Flemming 112,KCCA4,Kelp,2.5,6,2022,7,2,3.4,1,2,Rhinogobiops nicholsii,Blackeye goby,48.87868,-125.1434,RLSsfu
Flemming 112,KCCA4,Kelp,5,45,2022,7,2,3.4,1,2,Rhinogobiops nicholsii,Blackeye goby,48.87868,-125.1434,RLSsfu
Flemming 112,KCCA4,Kelp,7.5,35,2022,7,2,3.4,1,2,Rhinogobiops nicholsii,Blackeye goby,48.87868,-125.1434,RLSsfu
Flemming 112,KCCA4,Kelp,10,25,2022,7,2,3.4,1,2,Rhinogobiops nicholsii,Blackeye goby,48.87868,-125.1434,RLSsfu
Flemming 112,KCCA4,Kelp,10,1,2022,7,2,3.4,1,2,Embiotoca lateralis,Striped seaperch,48.87868,-125.1434,RLSsfu
Flemming 112,KCCA4,Kelp,12.5,3,2022,7,2,3.4,1,2,Embiotoca lateralis,Striped seaperch,48.87868,-125.1434,RLSsfu
Flemming 112,KCCA4,Kelp,15,1,2022,7,2,3.4,1,2,Embiotoca lateralis,Striped seaperch,48.87868,-125.1434,RLSsfu
Flemming 112,KCCA4,Kelp,15,3,2022,7,2,3.4,1,2,Sebastes melanops,Black rockfish,48.87868,-125.1434,RLSsfu
Flemming 112,KCCA4,Kelp,20,1,2022,7,2,3.4,1,2,Sebastes melanops,Black rockfish,48.87868,-125.1434,RLSsfu
Flemming 112,KCCA4,Kelp,7.5,1,2022,7,2,3.4,1,2,Brachyistius frenatus,Kelp perch,48.87868,-125.1434,RLSsfu
Flemming 112,KCCA4,Kelp,7.5,1,2022,7,2,3.4,1,2,Sebastes flavidus,Yellowtail rockfish,48.87868,-125.1434,RLSsfu
Flemming 112,KCCA4,Kelp,2.5,1,2022,7,2,3.4,2,2,Jordania zonope,Longfin sculpin,48.87868,-125.1434,RLSsfu
Flemming 112,KCCA4,Kelp,5,1,2022,7,2,3.4,2,2,Jordania zonope,Longfin sculpin,48.87868,-125.1434,RLSsfu
Flemming 112,KCCA4,Kelp,7.5,1,2022,7,2,3.4,2,2,Jordania zonope,Longfin sculpin,48.87868,-125.1434,RLSsfu
Flemming 112,KCCA4,Kelp,5,1,2022,7,2,3.4,2,2,Artedius harringtoni,Scalyhead sculpin,48.87868,-125.1434,RLSsfu
Flemming 112,KCCA4,Kelp,10,1,2022,7,2,3.4,2,2,Apodichthys flavidus,Penpoint gunnel,48.87868,-125.1434,RLSsfu
Flemming 112,KCCA4,Kelp,5,1,2022,7,2,3.4,0,2,Oxylebius pictus,Painted greenling,48.87868,-125.1434,RLSsfu
Flemming 112,KCCA4,Kelp,12.5,2,2022,7,2,3.4,0,2,Oxylebius pictus,Painted greenling,48.87868,-125.1434,RLSsfu
Between Scotts and Bradys,KCCA2,Kelp,10,3,2022,7,3.5,3.1,1,1,Sebastes melanops,Black rockfish,48.83287,-125.1493,RLSsfu
Between Scotts and Bradys,KCCA2,Kelp,12.5,7,2022,7,3.5,3.1,1,1,Sebastes melanops,Black rockfish,48.83287,-125.1493,RLSsfu
Between Scotts and Bradys,KCCA2,Kelp,15,8,2022,7,3.5,3.1,1,1,Sebastes melanops,Black rockfish,48.83287,-125.1493,RLSsfu
Between Scotts and Bradys,KCCA2,Kelp,20,2,2022,7,3.5,3.1,1,1,Sebastes melanops,Black rockfish,48.83287,-125.1493,RLSsfu
Between Scotts and Bradys,KCCA2,Kelp,25,1,2022,7,3.5,3.1,1,1,Sebastes melanops,Black rockfish,48.83287,-125.1493,RLSsfu
Between Scotts and Bradys,KCCA2,Kelp,7.5,1,2022,7,3.5,3.1,1,1,Oxylebius pictus,Painted greenling,48.83287,-125.1493,RLSsfu
Between Scotts and Bradys,KCCA2,Kelp,12.5,3,2022,7,3.5,3.1,1,1,Oxylebius pictus,Painted greenling,48.83287,-125.1493,RLSsfu
Between Scotts and Bradys,KCCA2,Kelp,15,2,2022,7,3.5,3.1,1,1,Hexagrammos decagrammus,Kelp greenling,48.83287,-125.1493,RLSsfu
Between Scotts and Bradys,KCCA2,Kelp,20,3,2022,7,3.5,3.1,1,1,Hexagrammos decagrammus,Kelp greenling,48.83287,-125.1493,RLSsfu
Between Scotts and Bradys,KCCA2,Kelp,25,3,2022,7,3.5,3.1,1,1,Hexagrammos decagrammus,Kelp greenling,48.83287,-125.1493,RLSsfu
Between Scotts and Bradys,KCCA2,Kelp,10,3,2022,7,3.5,3.1,1,1,Sebastes flavidus,Yellowtail rockfish,48.83287,-125.1493,RLSsfu
Between Scotts and Bradys,KCCA2,Kelp,12.5,3,2022,7,3.5,3.1,1,1,Sebastes flavidus,Yellowtail rockfish,48.83287,-125.1493,RLSsfu
Between Scotts and Bradys,KCCA2,Kelp,15,2,2022,7,3.5,3.1,1,1,Sebastes flavidus,Yellowtail rockfish,48.83287,-125.1493,RLSsfu
Between Scotts and Bradys,KCCA2,Kelp,10,2,2022,7,3.5,3.1,1,1,Sebastes caurinus,Copper rockfish,48.83287,-125.1493,RLSsfu
Between Scotts and Bradys,KCCA2,Kelp,12.5,1,2022,7,3.5,3.1,1,1,Sebastes caurinus,Copper rockfish,48.83287,-125.1493,RLSsfu
Between Scotts and Bradys,KCCA2,Kelp,15,2,2022,7,3.5,3.1,1,1,Sebastes caurinus,Copper rockfish,48.83287,-125.1493,RLSsfu
Between Scotts and Bradys,KCCA2,Kelp,5,1,2022,7,3.5,3.1,1,1,Rhinogobiops nicholsii,Blackeye goby,48.83287,-125.1493,RLSsfu
Between Scotts and Bradys,KCCA2,Kelp,7.5,2,2022,7,3.5,3.1,1,1,Rhinogobiops nicholsii,Blackeye goby,48.83287,-125.1493,RLSsfu
Between Scotts and Bradys,KCCA2,Kelp,10,1,2022,7,3.5,3.1,1,1,Embiotoca lateralis,Striped seaperch,48.83287,-125.1493,RLSsfu
Between Scotts and Bradys,KCCA2,Kelp,10,1,2022,7,3.5,3.1,1,1,Rhacochilus vacca,Pile perch,48.83287,-125.1493,RLSsfu
Between Scotts and Bradys,KCCA2,Kelp,12.5,1,2022,7,3.5,3.1,1,1,Rhacochilus vacca,Pile perch,48.83287,-125.1493,RLSsfu
Between Scotts and Bradys,KCCA2,Kelp,15,1,2022,7,3.5,3.1,1,1,Rhacochilus vacca,Pile perch,48.83287,-125.1493,RLSsfu
Between Scotts and Bradys,KCCA2,Kelp,20,1,2022,7,3.5,3.1,1,1,Rhacochilus vacca,Pile perch,48.83287,-125.1493,RLSsfu
Between Scotts and Bradys,KCCA2,Kelp,7.5,150,2022,7,3.5,3.1,1,1,Aulorhynchus flavidus,Tube-snout,48.83287,-125.1493,RLSsfu
Between Scotts and Bradys,KCCA2,Kelp,7.5,1,2022,7,3.5,3.1,1,1,Brachyistius frenatus,Kelp perch,48.83287,-125.1493,RLSsfu
Between Scotts and Bradys,KCCA2,Kelp,5,3,2022,7,3.5,3.1,2,1,Rhinogobiops nicholsii,Blackeye goby,48.83287,-125.1493,RLSsfu
Between Scotts and Bradys,KCCA2,Kelp,7.5,1,2022,7,3.5,3.1,2,1,Rhinogobiops nicholsii,Blackeye goby,48.83287,-125.1493,RLSsfu
Between Scotts and Bradys,KCCA2,Kelp,10,1,2022,7,3.5,3.1,2,1,Rhinogobiops nicholsii,Blackeye goby,48.83287,-125.1493,RLSsfu
Between Scotts and Bradys,KCCA2,Kelp,5,1,2022,7,3.5,3.1,2,1,Artedius lateralis,Smoothhead sculpin,48.83287,-125.1493,RLSsfu
Between Scotts and Bradys,KCCA2,Kelp,7.5,1,2022,7,3.5,3.1,0,1,Brachyistius frenatus,Kelp perch,48.83287,-125.1493,RLSsfu
Dodger Channel 1,KCCA3,Kelp,10,15,2022,7,2,2.2,1,2,Rhacochilus vacca,Pile perch,48.83072,-125.19439,RLSsfu
Dodger Channel 1,KCCA3,Kelp,12.5,20,2022,7,2,2.2,1,2,Rhacochilus vacca,Pile perch,48.83072,-125.19439,RLSsfu
Dodger Channel 1,KCCA3,Kelp,15,5,2022,7,2,2.2,1,2,Rhacochilus vacca,Pile perch,48.83072,-125.19439,RLSsfu
Dodger Channel 1,KCCA3,Kelp,12.5,1,2022,7,2,2.2,1,2,Sebastes melanops,Black rockfish,48.83072,-125.19439,RLSsfu
Dodger Channel 1,KCCA3,Kelp,15,3,2022,7,2,2.2,1,2,Sebastes melanops,Black rockfish,48.83072,-125.19439,RLSsfu
Dodger Channel 1,KCCA3,Kelp,7.5,22,2022,7,2,2.2,1,2,Cymatogaster aggregata,Shiner perch,48.83072,-125.19439,RLSsfu
Dodger Channel 1,KCCA3,Kelp,10,30,2022,7,2,2.2,1,2,Cymatogaster aggregata,Shiner perch,48.83072,-125.19439,RLSsfu
Dodger Channel 1,KCCA3,Kelp,7.5,2,2022,7,2,2.2,1,2,Hexagrammos decagrammus,Kelp greenling,48.83072,-125.19439,RLSsfu
Dodger Channel 1,KCCA3,Kelp,2.5,440,2022,7,2,2.2,1,2,Clupea pallasii,Pacific Herring,48.83072,-125.19439,RLSsfu
Dodger Channel 1,KCCA3,Kelp,5,220,2022,7,2,2.2,1,2,Clupea pallasii,Pacific Herring,48.83072,-125.19439,RLSsfu
Dodger Channel 1,KCCA3,Kelp,2.5,8,2022,7,2,2.2,1,2,Sebastes spp.,Unidentified rockfish,48.83072,-125.19439,RLSsfu
Dodger Channel 1,KCCA3,Kelp,5,1,2022,7,2,2.2,1,2,Sebastes spp.,Unidentified rockfish,48.83072,-125.19439,RLSsfu
