"SiteName","Species","common_name","Method","abundance"
"Bordelais Island","Patiria miniata","Bat star","2",12
"Bordelais Island","Pisaster ochraceus","Purple sea star","2",27
"Bordelais Island","Pomaulax gibberosus","Red turban snail","2",142
"Bordelais Island","Scyra acutifrons","Sharpnose crab","2",8
"Bordelais Island","Sebastes flavidus","Yellowtail rockfish","1",3
"Bordelais Island","Sebastes melanops","Black rockfish","1",32
"Bordelais Island","Sebastes spp.","Unidentified rockfish","1",16
"Bordelais Island","Strongylocentrotus droebachiensis","Northern sea urchin","2",27
"Bordelais Island","Strongylocentrotus purpuratus","Purple sea urchin","2",558
"Bordelais Island","Stylasterias forreri","Velcro seastar","2",2
"Bordelais Island","Tonicella spp.","Unidentified chiton","2",13
"Cable Beach (Blow Hole)","Acmaea mitra","Whitecap limpet","2",28
"Cable Beach (Blow Hole)","Apostichopus californicus","California sea cucumber","2",4
"Cable Beach (Blow Hole)","Artedius harringtoni","Scalyhead sculpin","2",1
"Cable Beach (Blow Hole)","Artedius lateralis","Smoothhead sculpin","2",1
"Cable Beach (Blow Hole)","Brachyistius frenatus","Kelp perch","1",1
"Cable Beach (Blow Hole)","Ceratostoma foliatum","Leafy hornmouth","2",10
"Cable Beach (Blow Hole)","Crassadoma gigantea","Purple-hinged rock scallop","2",1
"Cable Beach (Blow Hole)","Cryptochiton stelleri","Gumboot chiton","2",2
"Cable Beach (Blow Hole)","Cymatogaster aggregata","Shiner perch","1",7
"Cable Beach (Blow Hole)","Dermasterias imbricata","Leather star","2",22
"Cable Beach (Blow Hole)","Diodora aspera","Rough keyhole limpet","2",1
"Cable Beach (Blow Hole)","Embiotoca lateralis","Striped seaperch","1",53
"Cable Beach (Blow Hole)","Evasterias troschelii","Mottled starfish","2",4
"Cable Beach (Blow Hole)","Henricia pumila","Dwarf mottled henricia","2",2
"Cable Beach (Blow Hole)","Hermissenda crassicornis","Opalescent nudibranch","2",1
"Cable Beach (Blow Hole)","Hexagrammos decagrammus","Kelp greenling","1",5
"Cable Beach (Blow Hole)","Hexagrammos decagrammus","Kelp greenling","2",1
"Cable Beach (Blow Hole)","Mesocentrotus franciscanus","Red sea urchin","2",177
"Cable Beach (Blow Hole)","Oxylebius pictus","Painted greenling","1",1
"Cable Beach (Blow Hole)","Paguroidea spp.","Unidentified hermit crab","2",4
"Cable Beach (Blow Hole)","Patiria miniata","Bat star","2",2
"Cable Beach (Blow Hole)","Pholis laeta","Crescent gunnel","2",1
"Cable Beach (Blow Hole)","Pisaster ochraceus","Purple sea star","2",14
"Cable Beach (Blow Hole)","Pugettia producta","Northern kelp crab","2",1
"Cable Beach (Blow Hole)","Rhacochilus vacca","Pile perch","1",25
"Cable Beach (Blow Hole)","Rhinogobiops nicholsii","Blackeye goby","1",12
"Cable Beach (Blow Hole)","Scyra acutifrons","Sharpnose crab","2",2
"Cable Beach (Blow Hole)","Sebastes caurinus","Copper rockfish","1",1
"Cable Beach (Blow Hole)","Sebastes melanops","Black rockfish","1",29
"Cable Beach (Blow Hole)","Sebastes spp.","Unidentified rockfish","1",1
"Cable Beach (Blow Hole)","Strongylocentrotus purpuratus","Purple sea urchin","2",55
"Cable Beach (Blow Hole)","Stylasterias forreri","Velcro seastar","2",1
"Cable Beach (Blow Hole)","Tonicella spp.","Unidentified chiton","2",4
"Danvers Danger Rock","Acmaea mitra","Whitecap limpet","2",11
"Danvers Danger Rock","Apostichopus californicus","California sea cucumber","2",13
"Danvers Danger Rock","Artedius harringtoni","Scalyhead sculpin","2",73
"Danvers Danger Rock","Brachyistius frenatus","Kelp perch","1",5
"Danvers Danger Rock","Cancer productus","Red rock crab","2",2
"Danvers Danger Rock","Ceratostoma foliatum","Leafy hornmouth","2",5
"Danvers Danger Rock","Crassadoma gigantea","Purple-hinged rock scallop","2",7
"Danvers Danger Rock","Cryptochiton stelleri","Gumboot chiton","2",1
"Danvers Danger Rock","Cymatogaster aggregata","Shiner perch","1",423
"Danvers Danger Rock","Dermasterias imbricata","Leather star","2",105
"Danvers Danger Rock","Diodora aspera","Rough keyhole limpet","2",1
"Danvers Danger Rock","Embiotoca lateralis","Striped seaperch","1",22
"Danvers Danger Rock","Evasterias troschelii","Mottled starfish","2",7
"Danvers Danger Rock","Haliotis kamtschatkana","Pinto abalone","2",13
"Danvers Danger Rock","Hemilepidotus hemilepidotus","Red Irish lord","1",1
"Danvers Danger Rock","Hemilepidotus hemilepidotus","Red Irish lord","2",1
"Danvers Danger Rock","Henricia pumila","Dwarf mottled henricia","2",17
"Danvers Danger Rock","Henricia spp.","Unidentified blood star","2",1
"Danvers Danger Rock","Hexagrammos decagrammus","Kelp greenling","1",44
"Danvers Danger Rock","Hexagrammos stelleri","Whitespotted greenling","1",3
"Danvers Danger Rock","Mesocentrotus franciscanus","Red sea urchin","2",425
"Danvers Danger Rock","Oregonia gracilis","Graceful decorator crab","2",3
"Danvers Danger Rock","Orthasterias koehleri","Rainbow star","2",18
"Danvers Danger Rock","Patiria miniata","Bat star","2",40
"Danvers Danger Rock","Pisaster ochraceus","Purple sea star","2",143
"Danvers Danger Rock","Pomaulax gibberosus","Red turban snail","2",211
"Danvers Danger Rock","Pycnopodia helianthoides","Sunflower star","2",1
"Danvers Danger Rock","Rhacochilus vacca","Pile perch","1",62
"Danvers Danger Rock","Rhinogobiops nicholsii","Blackeye goby","2",33
"Danvers Danger Rock","Scyra acutifrons","Sharpnose crab","2",2
"Danvers Danger Rock","Sebastes caurinus","Copper rockfish","1",2
"Danvers Danger Rock","Sebastes melanops","Black rockfish","1",253
"Danvers Danger Rock","Strongylocentrotus purpuratus","Purple sea urchin","2",3
"Danvers Danger Rock","Tonicella spp.","Unidentified chiton","2",1
"Dixon Island Back (Bay)","Apostichopus californicus","California sea cucumber","2",10
"Dixon Island Back (Bay)","Artedius harringtoni","Scalyhead sculpin","2",1
"Dixon Island Back (Bay)","Brachyistius frenatus","Kelp perch","1",3
"Dixon Island Back (Bay)","Cancer productus","Red rock crab","2",3
"Dixon Island Back (Bay)","Ceratostoma foliatum","Leafy hornmouth","2",1
"Dixon Island Back (Bay)","Crassadoma gigantea","Purple-hinged rock scallop","2",4
"Dixon Island Back (Bay)","Cymatogaster aggregata","Shiner perch","1",20
"Dixon Island Back (Bay)","Dermasterias imbricata","Leather star","2",12
"Dixon Island Back (Bay)","Diodora aspera","Rough keyhole limpet","2",8
"Dixon Island Back (Bay)","Embiotoca lateralis","Striped seaperch","1",1
"Dixon Island Back (Bay)","Evasterias troschelii","Mottled starfish","2",8
"Dixon Island Back (Bay)","Haliotis kamtschatkana","Pinto abalone","2",11
"Dixon Island Back (Bay)","Hexagrammos decagrammus","Kelp greenling","1",10
"Dixon Island Back (Bay)","Mesocentrotus franciscanus","Red sea urchin","2",51
"Dixon Island Back (Bay)","Oregonia gracilis","Graceful decorator crab","2",1
"Dixon Island Back (Bay)","Orthasterias koehleri","Rainbow star","2",1
"Dixon Island Back (Bay)","Oxylebius pictus","Painted greenling","1",1
"Dixon Island Back (Bay)","Patiria miniata","Bat star","2",49
"Dixon Island Back (Bay)","Pholis laeta","Crescent gunnel","2",2
"Dixon Island Back (Bay)","Pisaster ochraceus","Purple sea star","2",3
"Dixon Island Back (Bay)","Pomaulax gibberosus","Red turban snail","2",80
"Dixon Island Back (Bay)","Pugettia producta","Northern kelp crab","2",1
"Dixon Island Back (Bay)","Rhacochilus vacca","Pile perch","1",3
"Dixon Island Back (Bay)","Rhinogobiops nicholsii","Blackeye goby","1",29
"Dixon Island Back (Bay)","Rhinogobiops nicholsii","Blackeye goby","2",86
"Dixon Island Back (Bay)","Scyra acutifrons","Sharpnose crab","2",2
"Dixon Island Back (Bay)","Sebastes caurinus","Copper rockfish","1",1
"Dodger Channel 1","Apostichopus californicus","California sea cucumber","2",35
"Dodger Channel 1","Artedius harringtoni","Scalyhead sculpin","2",2
"Dodger Channel 1","Aulorhynchus flavidus","Tube-snout","1",20
"Dodger Channel 1","Cancer productus","Red rock crab","2",3
"Dodger Channel 1","Ceratostoma foliatum","Leafy hornmouth","2",3
"Dodger Channel 1","Clupea pallasii","Pacific Herring","1",1060
"Dodger Channel 1","Crassadoma gigantea","Purple-hinged rock scallop","2",1
"Dodger Channel 1","Cymatogaster aggregata","Shiner perch","1",52
"Dodger Channel 1","Dermasterias imbricata","Leather star","2",7
"Dodger Channel 1","Evasterias troschelii","Mottled starfish","2",1
"Dodger Channel 1","Haliotis kamtschatkana","Pinto abalone","2",5
"Dodger Channel 1","Hexagrammos decagrammus","Kelp greenling","1",8
"Dodger Channel 1","Mesocentrotus franciscanus","Red sea urchin","2",215
"Dodger Channel 1","Orthasterias koehleri","Rainbow star","2",1
"Dodger Channel 1","Patiria miniata","Bat star","2",21
"Dodger Channel 1","Pisaster ochraceus","Purple sea star","2",2
"Dodger Channel 1","Pomaulax gibberosus","Red turban snail","2",141
"Dodger Channel 1","Pugettia producta","Northern kelp crab","2",10
"Dodger Channel 1","Rhacochilus vacca","Pile perch","1",72
"Dodger Channel 1","Rhinogobiops nicholsii","Blackeye goby","2",9
"Dodger Channel 1","Sebastes melanops","Black rockfish","1",6
"Dodger Channel 1","Sebastes spp.","Unidentified rockfish","1",10
"Dodger Channel 2","Apodichthys flavidus","Penpoint gunnel","2",1
"Dodger Channel 2","Apostichopus californicus","California sea cucumber","2",8
"Dodger Channel 2","Artedius harringtoni","Scalyhead sculpin","2",3
"Dodger Channel 2","Brachyistius frenatus","Kelp perch","1",1
"Dodger Channel 2","Cancer productus","Red rock crab","2",6
"Dodger Channel 2","Ceratostoma foliatum","Leafy hornmouth","2",2
"Dodger Channel 2","Dermasterias imbricata","Leather star","2",5
"Dodger Channel 2","Diaulula odonoghuei","Leopard dorid","2",2
"Dodger Channel 2","Diodora aspera","Rough keyhole limpet","2",4
"Dodger Channel 2","Evasterias troschelii","Mottled starfish","2",6
"Dodger Channel 2","Haliotis kamtschatkana","Pinto abalone","2",2
"Dodger Channel 2","Heptacarpus stylus","Stiletto shrimp","2",9
"Dodger Channel 2","Hexagrammos decagrammus","Kelp greenling","1",6
"Dodger Channel 2","Jordania zonope","Longfin sculpin","2",1
"Dodger Channel 2","Oregonia gracilis","Graceful decorator crab","2",10
"Dodger Channel 2","Orthasterias koehleri","Rainbow star","2",1
"Dodger Channel 2","Pholis laeta","Crescent gunnel","2",2
"Dodger Channel 2","Pisaster ochraceus","Purple sea star","2",2
"Dodger Channel 2","Pomaulax gibberosus","Red turban snail","2",1
"Dodger Channel 2","Pugettia producta","Northern kelp crab","2",11
"Dodger Channel 2","Pycnopodia helianthoides","Sunflower star","2",2
"Dodger Channel 2","Rhacochilus vacca","Pile perch","1",3
"Dodger Channel 2","Rhinogobiops nicholsii","Blackeye goby","2",21
"Dodger Channel 2","Scyra acutifrons","Sharpnose crab","2",2
"Dodger Channel 2","Sebastes caurinus","Copper rockfish","1",14
"Dodger Channel 2","Sebastes flavidus","Yellowtail rockfish","1",4
"Dodger Channel 2","Sebastes spp.","Unidentified rockfish","1",61
"Ed King East Inside","Acmaea mitra","Whitecap limpet","2",9
"Ed King East Inside","Apostichopus californicus","California sea cucumber","2",1
"Ed King East Inside","Artedius harringtoni","Scalyhead sculpin","2",2
"Ed King East Inside","Artedius lateralis","Smoothhead sculpin","2",1
"Ed King East Inside","Aulorhynchus flavidus","Tube-snout","1",1
"Ed King East Inside","Cancer productus","Red rock crab","2",1
"Ed King East Inside","Ceratostoma foliatum","Leafy hornmouth","2",7
"Ed King East Inside","Crassadoma gigantea","Purple-hinged rock scallop","2",2
"Ed King East Inside","Cymatogaster aggregata","Shiner perch","1",6
"Ed King East Inside","Dermasterias imbricata","Leather star","2",26
"Ed King East Inside","Diaulula odonoghuei","Leopard dorid","2",1
"Ed King East Inside","Diodora aspera","Rough keyhole limpet","2",1
"Ed King East Inside","Embiotoca lateralis","Striped seaperch","1",4
"Ed King East Inside","Evasterias troschelii","Mottled starfish","2",2
"Ed King East Inside","Haliotis kamtschatkana","Pinto abalone","2",40
"Ed King East Inside","Hemilepidotus hemilepidotus","Red Irish lord","2",1
"Ed King East Inside","Henricia pumila","Dwarf mottled henricia","2",5
"Ed King East Inside","Henricia spp.","Unidentified blood star","2",2
"Ed King East Inside","Hermissenda crassicornis","Opalescent nudibranch","2",9
"Ed King East Inside","Hexagrammos decagrammus","Kelp greenling","1",4
"Ed King East Inside","Mesocentrotus franciscanus","Red sea urchin","2",172
"Ed King East Inside","Orthasterias koehleri","Rainbow star","2",15
"Ed King East Inside","Paguroidea spp.","Unidentified hermit crab","2",2
"Ed King East Inside","Patiria miniata","Bat star","2",27
"Ed King East Inside","Pisaster ochraceus","Purple sea star","2",15
"Ed King East Inside","Pomaulax gibberosus","Red turban snail","2",16
"Ed King East Inside","Pugettia producta","Northern kelp crab","2",3
"Ed King East Inside","Rhacochilus vacca","Pile perch","1",46
"Ed King East Inside","Rhinogobiops nicholsii","Blackeye goby","2",1
"Ed King East Inside","Sebastes caurinus","Copper rockfish","1",2
"Ed King East Inside","Sebastes flavidus","Yellowtail rockfish","1",5
"Ed King East Inside","Sebastes melanops","Black rockfish","1",102
"Ed King East Inside","Sebastes spp.","Unidentified rockfish","1",2
"Ed King East Inside","Strongylocentrotus purpuratus","Purple sea urchin","2",10
"Ed King East Inside","Stylasterias forreri","Velcro seastar","2",1
"Flemming 112","Acmaea mitra","Whitecap limpet","2",10
"Flemming 112","Apodichthys flavidus","Penpoint gunnel","2",1
"Flemming 112","Apostichopus californicus","California sea cucumber","2",19
"Flemming 112","Artedius harringtoni","Scalyhead sculpin","2",2
"Flemming 112","Brachyistius frenatus","Kelp perch","1",1
"Flemming 112","Ceratostoma foliatum","Leafy hornmouth","2",2
"Flemming 112","Crassadoma gigantea","Purple-hinged rock scallop","2",10
"Flemming 112","Dermasterias imbricata","Leather star","2",15
"Flemming 112","Diaulula odonoghuei","Leopard dorid","2",1
"Flemming 112","Diodora aspera","Rough keyhole limpet","2",7
"Flemming 112","Embiotoca lateralis","Striped seaperch","1",5
"Flemming 112","Haliotis kamtschatkana","Pinto abalone","2",10
"Flemming 112","Henricia pumila","Dwarf mottled henricia","2",2
"Flemming 112","Hexagrammos decagrammus","Kelp greenling","1",21
"Flemming 112","Jordania zonope","Longfin sculpin","2",3
"Flemming 112","Mesocentrotus franciscanus","Red sea urchin","2",215
"Flemming 112","Oregonia gracilis","Graceful decorator crab","2",3
"Flemming 112","Orthasterias koehleri","Rainbow star","2",12
"Flemming 112","Paguroidea spp.","Unidentified hermit crab","2",1
"Flemming 112","Patiria miniata","Bat star","2",36
"Flemming 112","Pomaulax gibberosus","Red turban snail","2",291
"Flemming 112","Rhacochilus vacca","Pile perch","1",1
"Flemming 112","Rhinogobiops nicholsii","Blackeye goby","1",276
"Flemming 112","Sebastes caurinus","Copper rockfish","1",36
"Flemming 112","Sebastes flavidus","Yellowtail rockfish","1",1
"Flemming 112","Sebastes melanops","Black rockfish","1",10
"Flemming 112","Stylasterias forreri","Velcro seastar","2",3
"Flemming 114","Acmaea mitra","Whitecap limpet","2",12
"Flemming 114","Apostichopus californicus","California sea cucumber","2",4
"Flemming 114","Brachyistius frenatus","Kelp perch","1",1
"Flemming 114","Cancer productus","Red rock crab","2",2
"Flemming 114","Cymatogaster aggregata","Shiner perch","1",1
"Flemming 114","Dermasterias imbricata","Leather star","2",8
"Flemming 114","Diodora aspera","Rough keyhole limpet","2",1
"Flemming 114","Embiotoca lateralis","Striped seaperch","1",16
"Flemming 114","Haliotis kamtschatkana","Pinto abalone","2",1
"Flemming 114","Hexagrammos decagrammus","Kelp greenling","1",13
"Flemming 114","Hexagrammos stelleri","Whitespotted greenling","1",1
"Flemming 114","Orthasterias koehleri","Rainbow star","2",7
"Flemming 114","Paguroidea spp.","Unidentified hermit crab","2",1
"Flemming 114","Patiria miniata","Bat star","2",15
"Flemming 114","Pomaulax gibberosus","Red turban snail","2",49
"Flemming 114","Pycnopodia helianthoides","Sunflower star","2",17
"Flemming 114","Rhacochilus vacca","Pile perch","1",10
"Flemming 114","Rhinogobiops nicholsii","Blackeye goby","1",13
"Flemming 114","Rhinogobiops nicholsii","Blackeye goby","2",124
"Flemming 114","Sebastes caurinus","Copper rockfish","1",15
"Flemming 114","Sebastes flavidus","Yellowtail rockfish","1",1
"Flemming 114","Sebastes melanops","Black rockfish","1",3
"Flemming 114","Sebastes spp.","Unidentified rockfish","1",32
"Flemming 114","Tonicella spp.","Unidentified chiton","2",1
"Nanat Bay","Apostichopus californicus","California sea cucumber","2",0
"Nanat Bay","Artedius harringtoni","Scalyhead sculpin","2",1
"Nanat Bay","Brachyistius frenatus","Kelp perch","1",14
"Nanat Bay","Cancer productus","Red rock crab","2",1
"Nanat Bay","Ceratostoma foliatum","Leafy hornmouth","2",6
"Nanat Bay","Cymatogaster aggregata","Shiner perch","1",60
"Nanat Bay","Dermasterias imbricata","Leather star","2",20
"Nanat Bay","Diaulula odonoghuei","Leopard dorid","2",1
"Nanat Bay","Diodora aspera","Rough keyhole limpet","2",1
"Nanat Bay","Embiotoca lateralis","Striped seaperch","1",8
"Nanat Bay","Evasterias troschelii","Mottled starfish","2",3
"Nanat Bay","Haliotis kamtschatkana","Pinto abalone","2",1
"Nanat Bay","Henricia pumila","Dwarf mottled henricia","2",1
"Nanat Bay","Henricia spp.","Unidentified blood star","2",4
"Nanat Bay","Heptacarpus stylus","Stiletto shrimp","2",2
"Nanat Bay","Hexagrammos decagrammus","Kelp greenling","1",6
"Nanat Bay","Oregonia gracilis","Graceful decorator crab","2",2
"Nanat Bay","Orthasterias koehleri","Rainbow star","2",5
"Nanat Bay","Oxylebius pictus","Painted greenling","2",2
"Nanat Bay","Patiria miniata","Bat star","2",10
"Nanat Bay","Pycnopodia helianthoides","Sunflower star","2",4
"Nanat Bay","Rhacochilus vacca","Pile perch","1",8
"Nanat Bay","Rhinogobiops nicholsii","Blackeye goby","1",9
"Nanat Bay","Rhinogobiops nicholsii","Blackeye goby","2",139
"Nanat Bay","Sebastes caurinus","Copper rockfish","1",15
"Nanat Bay","Sebastes flavidus","Yellowtail rockfish","1",2
"Nanat Bay","Sebastes spp.","Unidentified rockfish","1",70
"Nanat Bay","Tonicella spp.","Unidentified chiton","2",2
"North Helby Rock","Acmaea mitra","Whitecap limpet","2",7
"North Helby Rock","Apodichthys flavidus","Penpoint gunnel","2",2
"North Helby Rock","Apostichopus californicus","California sea cucumber","2",11
"North Helby Rock","Artedius harringtoni","Scalyhead sculpin","2",3
"North Helby Rock","Brachyistius frenatus","Kelp perch","1",8
"North Helby Rock","Cancer productus","Red rock crab","2",4
"North Helby Rock","Ceratostoma foliatum","Leafy hornmouth","2",8
"North Helby Rock","Clupea pallasii","Pacific Herring","1",710
"North Helby Rock","Cymatogaster aggregata","Shiner perch","1",437
"North Helby Rock","Dermasterias imbricata","Leather star","2",15
"North Helby Rock","Embiotoca lateralis","Striped seaperch","1",3
"North Helby Rock","Evasterias troschelii","Mottled starfish","2",25
"North Helby Rock","Haliotis kamtschatkana","Pinto abalone","2",9
"North Helby Rock","Henricia spp.","Unidentified blood star","2",3
"North Helby Rock","Heptacarpus stylus","Stiletto shrimp","2",2
"North Helby Rock","Hermissenda crassicornis","Opalescent nudibranch","2",1
"North Helby Rock","Hexagrammos decagrammus","Kelp greenling","1",9
"North Helby Rock","Jordania zonope","Longfin sculpin","2",2
"North Helby Rock","Mesocentrotus franciscanus","Red sea urchin","2",200
"North Helby Rock","Oregonia gracilis","Graceful decorator crab","2",11
"North Helby Rock","Orthasterias koehleri","Rainbow star","2",20
"North Helby Rock","Oxylebius pictus","Painted greenling","1",1
"North Helby Rock","Patiria miniata","Bat star","2",11
"North Helby Rock","Pisaster ochraceus","Purple sea star","2",9
"North Helby Rock","Pomaulax gibberosus","Red turban snail","2",56
"North Helby Rock","Pugettia producta","Northern kelp crab","2",3
"North Helby Rock","Pycnopodia helianthoides","Sunflower star","2",7
"North Helby Rock","Rhacochilus vacca","Pile perch","1",27
"North Helby Rock","Rhinogobiops nicholsii","Blackeye goby","1",1
"North Helby Rock","Rhinogobiops nicholsii","Blackeye goby","2",32
"North Helby Rock","Sebastes caurinus","Copper rockfish","1",19
"North Helby Rock","Sebastes flavidus","Yellowtail rockfish","1",8
"North Helby Rock","Sebastes melanops","Black rockfish","1",23
"North Helby Rock","Sebastes spp.","Unidentified rockfish","1",15
"North Helby Rock","Stylasterias forreri","Velcro seastar","2",1
"North Helby Rock","Tonicella spp.","Unidentified chiton","2",3
"Ross Islet 2","Acmaea mitra","Whitecap limpet","2",3
"Ross Islet 2","Apostichopus californicus","California sea cucumber","2",13
"Ross Islet 2","Brachyistius frenatus","Kelp perch","1",41
"Ross Islet 2","Cancer productus","Red rock crab","2",3
"Ross Islet 2","Ceratostoma foliatum","Leafy hornmouth","2",1
"Ross Islet 2","Crassadoma gigantea","Purple-hinged rock scallop","2",6
"Ross Islet 2","Cymatogaster aggregata","Shiner perch","1",6
"Ross Islet 2","Dermasterias imbricata","Leather star","2",7
"Ross Islet 2","Evasterias troschelii","Mottled starfish","2",2
"Ross Islet 2","Haliotis kamtschatkana","Pinto abalone","2",7
"Ross Islet 2","Hexagrammos decagrammus","Kelp greenling","1",46
"Ross Islet 2","Hexagrammos stelleri","Whitespotted greenling","1",5
"Ross Islet 2","Jordania zonope","Longfin sculpin","1",1
"Ross Islet 2","Mesocentrotus franciscanus","Red sea urchin","2",118
"Ross Islet 2","Orthasterias koehleri","Rainbow star","2",8
"Ross Islet 2","Oxylebius pictus","Painted greenling","1",3
"Ross Islet 2","Patiria miniata","Bat star","2",114
"Ross Islet 2","Pisaster ochraceus","Purple sea star","2",3
"Ross Islet 2","Pomaulax gibberosus","Red turban snail","2",375
"Ross Islet 2","Rhacochilus vacca","Pile perch","1",12
"Ross Islet 2","Rhinogobiops nicholsii","Blackeye goby","1",29
"Ross Islet 2","Rhinogobiops nicholsii","Blackeye goby","2",117
"Ross Islet 2","Sebastes caurinus","Copper rockfish","1",29
"Ross Islet 2","Sebastes flavidus","Yellowtail rockfish","1",1
"Ross Islet 2","Sebastes melanops","Black rockfish","1",5
"Ross Islet 2","Sebastes spp.","Unidentified rockfish","1",24
"Ross Islet 2","Stylasterias forreri","Velcro seastar","2",3
"Ross Islet 2","Tonicella spp.","Unidentified chiton","2",1
"Ross Islet Slug Island","Acmaea mitra","Whitecap limpet","2",9
"Ross Islet Slug Island","Apodichthys flavidus","Penpoint gunnel","2",1
"Ross Islet Slug Island","Apostichopus californicus","California sea cucumber","2",55
"Ross Islet Slug Island","Brachyistius frenatus","Kelp perch","1",2
"Ross Islet Slug Island","Cancer productus","Red rock crab","2",1
"Ross Islet Slug Island","Ceratostoma foliatum","Leafy hornmouth","2",11
"Ross Islet Slug Island","Crassadoma gigantea","Purple-hinged rock scallop","2",10
"Ross Islet Slug Island","Cymatogaster aggregata","Shiner perch","1",86
"Ross Islet Slug Island","Dermasterias imbricata","Leather star","2",30
"Ross Islet Slug Island","Diodora aspera","Rough keyhole limpet","2",6
"Ross Islet Slug Island","Evasterias troschelii","Mottled starfish","2",11
"Ross Islet Slug Island","Haliotis kamtschatkana","Pinto abalone","2",40
"Ross Islet Slug Island","Henricia pumila","Dwarf mottled henricia","2",1
"Ross Islet Slug Island","Hexagrammos decagrammus","Kelp greenling","1",27
"Ross Islet Slug Island","Jordania zonope","Longfin sculpin","2",1
"Ross Islet Slug Island","Mesocentrotus franciscanus","Red sea urchin","2",363
"Ross Islet Slug Island","Orthasterias koehleri","Rainbow star","2",34
"Ross Islet Slug Island","Oxylebius pictus","Painted greenling","1",8
"Ross Islet Slug Island","Paguroidea spp.","Unidentified hermit crab","2",1
"Ross Islet Slug Island","Patiria miniata","Bat star","2",144
"Ross Islet Slug Island","Pholis laeta","Crescent gunnel","2",1
"Ross Islet Slug Island","Pisaster ochraceus","Purple sea star","2",5
"Ross Islet Slug Island","Pomaulax gibberosus","Red turban snail","2",81
"Ross Islet Slug Island","Pugettia producta","Northern kelp crab","2",1
"Ross Islet Slug Island","Pycnopodia helianthoides","Sunflower star","2",1
"Ross Islet Slug Island","Rhacochilus vacca","Pile perch","1",37
"Ross Islet Slug Island","Rhinogobiops nicholsii","Blackeye goby","1",27
"Ross Islet Slug Island","Rhinogobiops nicholsii","Blackeye goby","2",56
"Ross Islet Slug Island","Sebastes caurinus","Copper rockfish","1",23
