,,,,,,,,,1,2,3,4,5,6,
Danvers Danger Rock,8/6/2022,3.6,CMA,P8062323,41.03,30.77,14,99,,1,76,,19,3,99
Dixon Island Back (Bay),7/26/2022,4.2,CMA,P7262029,47.7,35.78,400,6,,3,3,,,,6
Dixon Island Back (Bay),7/26/2022,4.2,CMA,P7262029,47.7,35.78,260,9,,7,2,,,,9
Dixon Island Back (Bay),7/26/2022,4.2,CMA,P7262029,47.7,35.78,200,12,,9,3,,,,12
Dixon Island Back (Bay),7/26/2022,4.2,CMA,P7262029,47.7,35.78,140,20,,13,7,,,,20
Dixon Island Back (Bay),7/26/2022,4.2,CMA,P7262029,47.7,35.78,70,30,,19,10,,,1,30
Dixon Island Back (Bay),7/26/2022,4.2,CMA,P7262029,47.7,35.78,47,42,,23,18,,,1,42
Dixon Island Back (Bay),7/26/2022,4.2,CMA,P7262029,47.7,35.78,40,48,,28,19,,,1,48
Dixon Island Back (Bay),7/26/2022,4.2,CMA,P7262029,47.7,35.78,32,63,,37,24,,,2,63
Dixon Island Back (Bay),7/26/2022,4.2,CMA,P7262029,47.7,35.78,27,70,,41,29,,,,70
Dixon Island Back (Bay),7/26/2022,4.2,CMA,P7262029,47.7,35.78,24,80,,46,32,,,2,80
Dixon Island Back (Bay),7/26/2022,4.2,CMA,P7262029,47.7,35.78,20,88,,47,40,,,1,88
Dixon Island Back (Bay),7/26/2022,4.2,CMA,P7262029,47.7,35.78,19,99,,53,44,,,2,99
Dodger Channel 1,7/6/2022,3.5,CMA,P7061666,48.34,36.26,400,6,,1,1,4,,,6
Dodger Channel 1,7/6/2022,3.5,CMA,P7061666,48.34,36.26,260,9,,1,5,2,,1,9
Dodger Channel 1,7/6/2022,3.5,CMA,P7061666,48.34,36.26,200,12,,1,6,5,,,12
Dodger Channel 1,7/6/2022,3.5,CMA,P7061666,48.34,36.26,120,20,,3,9,7,,1,20
Dodger Channel 1,7/6/2022,3.5,CMA,P7061666,48.34,36.26,80,30,,4,14,11,,1,30
Dodger Channel 1,7/6/2022,3.5,CMA,P7061666,48.34,36.26,48,42,,5,19,17,,1,42
Dodger Channel 1,7/6/2022,3.5,CMA,P7061666,48.34,36.26,44,48,,6,26,16,,,48
Dodger Channel 1,7/6/2022,3.5,CMA,P7061666,48.34,36.26,30,63,,6,37,19,,1,63
Dodger Channel 1,7/6/2022,3.5,CMA,P7061666,48.34,36.26,27,70,,8,36,25,,1,70
Dodger Channel 1,7/6/2022,3.5,CMA,P7061666,48.34,36.26,24,80,,9,48,23,,,80
Dodger Channel 1,7/6/2022,3.5,CMA,P7061666,48.34,36.26,22,88,,10,56,22,,,88
Dodger Channel 1,7/6/2022,3.5,CMA,P7061666,48.34,36.26,20,99,,10,63,25,,1,99
Dodger Channel 2,7/28/2022,5.8,CMA,P7282191,52.44,39.33,400,6,6,,,,,,6
Dodger Channel 2,7/28/2022,5.8,CMA,P7282191,52.44,39.33,310,9,9,,,,,,9
Dodger Channel 2,7/28/2022,5.8,CMA,P7282191,52.44,39.33,250,12,12,,,,,,12
Dodger Channel 2,7/28/2022,5.8,CMA,P7282191,52.44,39.33,120,20,19,,,,,1,20
Dodger Channel 2,7/28/2022,5.8,CMA,P7282191,52.44,39.33,90,30,30,,,,,,30
Dodger Channel 2,7/28/2022,5.8,CMA,P7282191,52.44,39.33,58,42,41,,,,,1,42
Dodger Channel 2,7/28/2022,5.8,CMA,P7282191,52.44,39.33,50,48,48,,,,,,48
Dodger Channel 2,7/28/2022,5.8,CMA,P7282191,52.44,39.33,40,63,61,,,,,2,63
Dodger Channel 2,7/28/2022,5.8,CMA,P7282191,52.44,39.33,32,70,70,,,,,,70
Dodger Channel 2,7/28/2022,5.8,CMA,P7282191,52.44,39.33,30,80,80,,,,,,80
Dodger Channel 2,7/28/2022,5.8,CMA,P7282191,52.44,39.33,26,88,86,,,,,2,88
Dodger Channel 2,7/28/2022,5.8,CMA,P7282191,52.44,39.33,23,99,97,,,,,2,99
Ed King East Inside,7/25/2022,4.1,CMA,P7251854,48.48,36.36,400,6,,4,1,,,1,6
Ed King East Inside,7/25/2022,4.1,CMA,P7251854,48.48,36.36,270,9,,7,1,,,1,9
Ed King East Inside,7/25/2022,4.1,CMA,P7251854,48.48,36.36,200,12,,8,3,,1,,12
Ed King East Inside,7/25/2022,4.1,CMA,P7251854,48.48,36.36,120,20,,16,4,,,,20
Ed King East Inside,7/25/2022,4.1,CMA,P7251854,48.48,36.36,75,30,,23,6,,1,,30
Ed King East Inside,7/25/2022,4.1,CMA,P7251854,48.48,36.36,48,42,,33,8,,,1,42
Ed King East Inside,7/25/2022,4.1,CMA,P7251854,48.48,36.36,40,48,,40,7,,1,,48
Ed King East Inside,7/25/2022,4.1,CMA,P7251854,48.48,36.36,30,63,,47,14,,1,1,63
Ed King East Inside,7/25/2022,4.1,CMA,P7251854,48.48,36.36,27,70,,58,11,,1,,70
Ed King East Inside,7/25/2022,4.1,CMA,P7251854,48.48,36.36,24,80,,64,14,,2,,80
Ed King East Inside,7/25/2022,4.1,CMA,P7251854,48.48,36.36,22,88,,69,16,,1,2,88
Ed King East Inside,7/25/2022,4.1,CMA,P7251854,48.48,36.36,20,99,,76,21,,1,1,99
Flemming 112,7/7/2022,5.4,CMA,P7071730,47.71,35.78,400,6,,2,4,,,,6
Flemming 112,7/7/2022,5.4,CMA,P7071730,47.71,35.78,260,9,,3,6,,,,9
Flemming 112,7/7/2022,5.4,CMA,P7071730,47.71,35.78,200,12,,3,9,,,,12
Flemming 112,7/7/2022,5.4,CMA,P7071730,47.71,35.78,120,20,,6,13,,,1,20
Flemming 112,7/7/2022,5.4,CMA,P7071730,47.71,35.78,70,30,,12,18,,,,30
Flemming 112,7/7/2022,5.4,CMA,P7071730,47.71,35.78,47,42,,16,26,,,,42
Flemming 112,7/7/2022,5.4,CMA,P7071730,47.71,35.78,40,48,,15,33,,,,48
Flemming 112,7/7/2022,5.4,CMA,P7071730,47.71,35.78,32,63,,20,42,,,1,63
Flemming 112,7/7/2022,5.4,CMA,P7071730,47.71,35.78,27,70,,22,47,,,1,70
Flemming 112,7/7/2022,5.4,CMA,P7071730,47.71,35.78,23,80,,26,54,,,,80
Flemming 112,7/7/2022,5.4,CMA,P7071730,47.71,35.78,21,88,,29,59,,,,88
Flemming 112,7/7/2022,5.4,CMA,P7071730,47.71,35.78,19,99,,35,63,,,1,99
Flemming 114,9/8/2022,7,CMA,P9082925,51.61,38.71,400,6,5,,,,,1,6
Flemming 114,9/8/2022,7,CMA,P9082925,51.61,38.71,300,9,8,,,1,,,9
Flemming 114,9/8/2022,7,CMA,P9082925,51.61,38.71,250,12,11,,,1,,,12
Flemming 114,9/8/2022,7,CMA,P9082925,51.61,38.71,140,20,18,,,2,,,20
Flemming 114,9/8/2022,7,CMA,P9082925,51.61,38.71,80,30,27,,,3,,,30
Flemming 114,9/8/2022,7,CMA,P9082925,51.61,38.71,55,42,38,,,4,,,42
Flemming 114,9/8/2022,7,CMA,P9082925,51.61,38.71,50,48,44,,,4,,,48
Flemming 114,9/8/2022,7,CMA,P9082925,51.61,38.71,38,63,58,,,5,,,63
Flemming 114,9/8/2022,7,CMA,P9082925,51.61,38.71,32,70,64,,,5,,1,70
Flemming 114,9/8/2022,7,CMA,P9082925,51.61,38.71,28,80,71,,,7,,2,80
Flemming 114,9/8/2022,7,CMA,P9082925,51.61,38.71,25,88,80,,,7,,1,88
Flemming 114,9/8/2022,7,CMA,P9082925,51.61,38.71,23,99,90,,,8,,1,99
Less Dangerous Bay,7/24/2022,4.8,CMA,P7241817,50.08,37.56,400,6,,6,,,,,6
Less Dangerous Bay,7/24/2022,4.8,CMA,P7241817,50.08,37.56,280,9,,7,2,,,,9
Less Dangerous Bay,7/24/2022,4.8,CMA,P7241817,50.08,37.56,230,12,,10,2,,,,12
Less Dangerous Bay,7/24/2022,4.8,CMA,P7241817,50.08,37.56,130,20,,18,3,,,,21
Less Dangerous Bay,7/24/2022,4.8,CMA,P7241817,50.08,37.56,80,30,,25,5,,,,30
Less Dangerous Bay,7/24/2022,4.8,CMA,P7241817,50.08,37.56,52,42,,37,5,,,,42
Less Dangerous Bay,7/24/2022,4.8,CMA,P7241817,50.08,37.56,50,48,,42,6,,,,48
Less Dangerous Bay,7/24/2022,4.8,CMA,P7241817,50.08,37.56,35,63,,54,8,,,1,63
Less Dangerous Bay,7/24/2022,4.8,CMA,P7241817,50.08,37.56,30,70,,60,9,,,1,70
Less Dangerous Bay,7/24/2022,4.8,CMA,P7241817,50.08,37.56,26,80,,69,11,,,,80
Less Dangerous Bay,7/24/2022,4.8,CMA,P7241817,50.08,37.56,23,88,,75,12,,,1,88
Less Dangerous Bay,7/24/2022,4.8,CMA,P7241817,50.08,37.56,20,99,,83,14,,,2,99
Nanat Bay,8/31/2022,5.3,CMA,P8312745,47.31,35.49,400,6,1,4,,1,,,6
Nanat Bay,8/31/2022,5.3,CMA,P8312745,47.31,35.49,250,9,2,6,,1,,,9
Nanat Bay,8/31/2022,5.3,CMA,P8312745,47.31,35.49,200,12,3,7,,2,,,12
Nanat Bay,8/31/2022,5.3,CMA,P8312745,47.31,35.49,110,20,4,12,,4,,,20
Nanat Bay,8/31/2022,5.3,CMA,P8312745,47.31,35.49,70,30,8,16,,5,,1,30
Nanat Bay,8/31/2022,5.3,CMA,P8312745,47.31,35.49,46,42,9,22,1,10,,,42
Nanat Bay,8/31/2022,5.3,CMA,P8312745,47.31,35.49,44,48,10,22,2,12,,2,48
Nanat Bay,8/31/2022,5.3,CMA,P8312745,47.31,35.49,30,63,13,32,2,15,,1,63
Nanat Bay,8/31/2022,5.3,CMA,P8312745,47.31,35.49,27,70,16,32,2,18,,2,70
Nanat Bay,8/31/2022,5.3,CMA,P8312745,47.31,35.49,23,80,16,42,3,18,,1,80
Nanat Bay,8/31/2022,5.3,CMA,P8312745,47.31,35.49,20,88,18,39,5,23,,3,88
Nanat Bay,8/31/2022,5.3,CMA,P8312745,47.31,35.49,19,99,20,47,5,23,,4,99
North Helby Rock ,8/3/2022,3.8,CMA,P8035951,52.8,39.6,400,6,,3,,3,,,6
North Helby Rock ,8/3/2022,3.8,CMA,P8035951,52.8,39.6,310,9,,5,,4,,,9
North Helby Rock ,8/3/2022,3.8,CMA,P8035951,52.8,39.6,260,12,,6,,5,1,,12
North Helby Rock ,8/3/2022,3.8,CMA,P8035951,52.8,39.6,150,20,,9,1,10,,,20
North Helby Rock ,8/3/2022,3.8,CMA,P8035951,52.8,39.6,80,30,,14,2,14,,,30
North Helby Rock ,8/3/2022,3.8,CMA,P8035951,52.8,39.6,58,42,,18,3,20,,1,42
North Helby Rock ,8/3/2022,3.8,CMA,P8035951,52.8,39.6,50,48,,23,1,24,,,48
North Helby Rock ,8/3/2022,3.8,CMA,P8035951,52.8,39.6,40,63,,27,4,30,1,1,63
North Helby Rock ,8/3/2022,3.8,CMA,P8035951,52.8,39.6,33,70,,32,4,34,,,70
North Helby Rock ,8/3/2022,3.8,CMA,P8035951,52.8,39.6,30,80,,33,5,41,,1,80
North Helby Rock ,8/3/2022,3.8,CMA,P8035951,52.8,39.6,25,88,,43,7,37,,1,88
North Helby Rock ,8/3/2022,3.8,CMA,P8035951,52.8,39.6,24,99,,45,7,44,1,1,98
Ross Islet 2,7/29/2022,3.6,CMA,P7292242,50.86,38.14,400,6,,3,3,,,,6
Ross Islet 2,7/29/2022,3.6,CMA,P7292242,50.86,38.14,290,9,,5,2,,,2,9
Ross Islet 2,7/29/2022,3.6,CMA,P7292242,50.86,38.14,240,12,,6,5,,1,,12
Ross Islet 2,7/29/2022,3.6,CMA,P7292242,50.86,38.14,135,20,,10,9,,,1,20
Ross Islet 2,7/29/2022,3.6,CMA,P7292242,50.86,38.14,80,30,,19,11,,,,30
Ross Islet 2,7/29/2022,3.6,CMA,P7292242,50.86,38.14,55,42,,24,16,,,2,42
Ross Islet 2,7/29/2022,3.6,CMA,P7292242,50.86,38.14,48,48,,25,23,,,,48
Ross Islet 2,7/29/2022,3.6,CMA,P7292242,50.86,38.14,36,63,,36,23,,1,3,63
Ross Islet 2,7/29/2022,3.6,CMA,P7292242,50.86,38.14,30,70,,43,26,,,1,70
Ross Islet 2,7/29/2022,3.6,CMA,P7292242,50.86,38.14,27,80,,49,31,,,,80
Ross Islet 2,7/29/2022,3.6,CMA,P7292242,50.86,38.14,24,88,,53,32,,1,2,88
Ross Islet 2,7/29/2022,3.6,CMA,P7292242,50.86,38.14,22,99,,59,35,,1,4,99
Ross Islet Slug Island,7/4/2022,3.1,CMA,IMG_6012,44.67,29.78,300,6,,2,4,,,,6
Ross Islet Slug Island,7/4/2022,3.1,CMA,IMG_6012,44.67,29.78,200,9,,2,6,,1,,9
Ross Islet Slug Island,7/4/2022,3.1,CMA,IMG_6012,44.67,29.78,150,12,,4,7,,1,,12
Ross Islet Slug Island,7/4/2022,3.1,CMA,IMG_6012,44.67,29.78,80,20,,5,13,,2,,20
Ross Islet Slug Island,7/4/2022,3.1,CMA,IMG_6012,44.67,29.78,55,30,,7,19,,4,,30
Ross Islet Slug Island,7/4/2022,3.1,CMA,IMG_6012,44.67,29.78,36,42,,11,23,,8,,42
Ross Islet Slug Island,7/4/2022,3.1,CMA,IMG_6012,44.67,29.78,34,48,,13,27,,8,,48
Ross Islet Slug Island,7/4/2022,3.1,CMA,IMG_6012,44.67,29.78,23,63,,21,33,,9,,63
Ross Islet Slug Island,7/4/2022,3.1,CMA,IMG_6012,44.67,29.78,22,70,,19,41,,10,,70
Ross Islet Slug Island,7/4/2022,3.1,CMA,IMG_6012,44.67,29.78,19,80,,21,45,,13,1,80
Ross Islet Slug Island,7/4/2022,3.1,CMA,IMG_6012,44.67,29.78,17,88,,26,49,,12,1,88
Ross Islet Slug Island,7/4/2022,3.1,CMA,IMG_6012,44.67,29.78,15,99,,26,52,,18,3,99
Between Scotts and Bradys,7/5/2022,2.7,CMA,P7051559,47.59,35.69,400,6,,4,1,,1,,6
Between Scotts and Bradys,7/5/2022,2.7,CMA,P7051559,47.59,35.69,260,9,,4,3,,2,,9
Between Scotts and Bradys,7/5/2022,2.7,CMA,P7051559,47.59,35.69,210,12,,6,5,,1,,12
Between Scotts and Bradys,7/5/2022,2.7,CMA,P7051559,47.59,35.69,120,20,,12,6,,2,,20
Between Scotts and Bradys,7/5/2022,2.7,CMA,P7051559,47.59,35.69,70,30,,18,9,,3,,30
Between Scotts and Bradys,7/5/2022,2.7,CMA,P7051559,47.59,35.69,47,42,,23,12,,6,1,42
Between Scotts and Bradys,7/5/2022,2.7,CMA,P7051559,47.59,35.69,42,48,,26,13,,8,1,48
Between Scotts and Bradys,7/5/2022,2.7,CMA,P7051559,47.59,35.69,32,63,,34,17,,12,,63
Between Scotts and Bradys,7/5/2022,2.7,CMA,P7051559,47.59,35.69,26,70,,38,18,,13,1,70
Between Scotts and Bradys,7/5/2022,2.7,CMA,P7051559,47.59,35.69,24,80,,46,22,,11,1,80
Between Scotts and Bradys,7/5/2022,2.7,CMA,P7051559,47.59,35.69,20,88,,48,25,,14,1,88
Between Scotts and Bradys,7/5/2022,2.7,CMA,P7051559,47.59,35.69,19,99,,53,30,,16,,99
Second Beach,8/21/2022,5.8,CMA,P8212611,49.26,36.94,400,6,,,3,,3,,6
Second Beach,8/21/2022,5.8,CMA,P8212611,49.26,36.94,270,9,,,5,,4,,9
Second Beach,8/21/2022,5.8,CMA,P8212611,49.26,36.94,220,12,,,4,,6,2,12
Second Beach,8/21/2022,5.8,CMA,P8212611,49.26,36.94,130,20,,,13,,7,,20
Second Beach,8/21/2022,5.8,CMA,P8212611,49.26,36.94,75,30,,1,13,,13,3,30
Second Beach,8/21/2022,5.8,CMA,P8212611,49.26,36.94,50,42,,,26,,15,1,42
Second Beach,8/21/2022,5.8,CMA,P8212611,49.26,36.94,45,48,,,26,,21,1,48
Second Beach,8/21/2022,5.8,CMA,P8212611,49.26,36.94,34,63,,,36,,23,4,63
Second Beach,8/21/2022,5.8,CMA,P8212611,49.26,36.94,28,70,,1,36,,30,3,70
Second Beach,8/21/2022,5.8,CMA,P8212611,49.26,36.94,25,80,,1,44,,31,4,80
Second Beach,8/21/2022,5.8,CMA,P8212611,49.26,36.94,22,88,,1,49,,36,2,88
Second Beach,8/21/2022,5.8,CMA,P8212611,49.26,36.94,21,99,,2,51,,43,3,99
Swiss Boy,7/23/2022,2.8,CMA,P7231771,51.56,38.67,400,6,,1,2,1,2,,6
Swiss Boy,7/23/2022,2.8,CMA,P7231771,51.56,38.67,300,9,,1,3,2,2,1,9
Swiss Boy,7/23/2022,2.8,CMA,P7231771,51.56,38.67,240,12,,1,8,,3,,12
Swiss Boy,7/23/2022,2.8,CMA,P7231771,51.56,38.67,140,20,,5,10,3,1,1,20
Swiss Boy,7/23/2022,2.8,CMA,P7231771,51.56,38.67,80,30,,5,18,1,6,,30
Swiss Boy,7/23/2022,2.8,CMA,P7231771,51.56,38.67,55,42,,5,25,2,9,1,42
Swiss Boy,7/23/2022,2.8,CMA,P7231771,51.56,38.67,50,48,,11,24,2,10,1,48
Swiss Boy,7/23/2022,2.8,CMA,P7231771,51.56,38.67,38,63,,14,30,6,12,1,63
Swiss Boy,7/23/2022,2.8,CMA,P7231771,51.56,38.67,32,70,,13,38,3,16,,70
Swiss Boy,7/23/2022,2.8,CMA,P7231771,51.56,38.67,28,80,,18,40,5,16,1,80
Swiss Boy,7/23/2022,2.8,CMA,P7231771,51.56,38.67,25,88,,18,41,8,19,2,88
Swiss Boy,7/23/2022,2.8,CMA,P7231771,51.56,38.67,23,99,,20,49,7,21,2,99
Turf Island 2,8/20/2022,3.3,CMA,P8202580,48.74,36.55,400,6,,4,1,,1,,6
Turf Island 2,8/20/2022,3.3,CMA,P8202580,48.74,36.55,270,9,,6,2,,1,,9
Turf Island 2,8/20/2022,3.3,CMA,P8202580,48.74,36.55,200,12,,7,3,,,1,11
Turf Island 2,8/20/2022,3.3,CMA,P8202580,48.74,36.55,120,20,,10,7,,3,,20
Turf Island 2,8/20/2022,3.3,CMA,P8202580,48.74,36.55,70,30,,16,13,,1,,30
Turf Island 2,8/20/2022,3.3,CMA,P8202580,48.74,36.55,50,42,,22,16,,3,1,42
Turf Island 2,8/20/2022,3.3,CMA,P8202580,48.74,36.55,42,48,,26,15,,5,2,48
Turf Island 2,8/20/2022,3.3,CMA,P8202580,48.74,36.55,32,63,,29,25,,6,3,63
Turf Island 2,8/20/2022,3.3,CMA,P8202580,48.74,36.55,28,70,,32,28,,8,2,70
Turf Island 2,8/20/2022,3.3,CMA,P8202580,48.74,36.55,25,80,,37,32,,10,1,80
Turf Island 2,8/20/2022,3.3,CMA,P8202580,48.74,36.55,22,88,,39,31,,14,4,88
Turf Island 2,8/20/2022,3.3,CMA,P8202580,48.74,36.55,20,99,,51,36,,9,3,99
Tzartus 116,8/18/2022,4.4,CMA,P8182474,50.65,37.99,400,6,,5,,1,,,6
Tzartus 116,8/18/2022,4.4,CMA,P8182474,50.65,37.99,290,9,,8,,1,,,9
Tzartus 116,8/18/2022,4.4,CMA,P8182474,50.65,37.99,240,12,,9,,3,,,12
Tzartus 116,8/18/2022,4.4,CMA,P8182474,50.65,37.99,130,20,,16,,3,,1,20
Tzartus 116,8/18/2022,4.4,CMA,P8182474,50.65,37.99,80,30,,24,1,5,,,30
Tzartus 116,8/18/2022,4.4,CMA,P8182474,50.65,37.99,55,42,,32,2,7,,1,42
Tzartus 116,8/18/2022,4.4,CMA,P8182474,50.65,37.99,48,48,,35,3,10,,,48
Tzartus 116,8/18/2022,4.4,CMA,P8182474,50.65,37.99,34,63,,49,3,9,,2,63
Tzartus 116,8/18/2022,4.4,CMA,P8182474,50.65,37.99,30,70,,49,10,11,,,70
Tzartus 116,8/18/2022,4.4,CMA,P8182474,50.65,37.99,28,80,,64,7,9,,,80
Tzartus 116,8/18/2022,4.4,CMA,P8182474,50.65,37.99,24,88,,62,12,12,,2,88
Tzartus 116,8/18/2022,4.4,CMA,P8182474,50.65,37.99,22,99,,73,11,12,,3,99
Wizard Islet North,8/22/2022,5.6,CMA,P8222708,47.57,35.68,400,6,,,,,5,1,6
Wizard Islet North,8/22/2022,5.6,CMA,P8222708,47.57,35.68,260,9,,,3,,6,,9
Wizard Islet North,8/22/2022,5.6,CMA,P8222708,47.57,35.68,200,12,,,3,,9,,12
Wizard Islet North,8/22/2022,5.6,CMA,P8222708,47.57,35.68,120,20,,,6,,13,1,20
Wizard Islet North,8/22/2022,5.6,CMA,P8222708,47.57,35.68,72,30,,,10,,19,1,30
Wizard Islet North,8/22/2022,5.6,CMA,P8222708,47.57,35.68,47,42,,,10,1,30,1,42
Wizard Islet North,8/22/2022,5.6,CMA,P8222708,47.57,35.68,40,48,,,10,4,32,2,48
Wizard Islet North,8/22/2022,5.6,CMA,P8222708,47.57,35.68,32,63,,,13,9,40,1,63
Wizard Islet North,8/22/2022,5.6,CMA,P8222708,47.57,35.68,26,70,,,13,10,45,2,70
Wizard Islet North,8/22/2022,5.6,CMA,P8222708,47.57,35.68,24,80,,,12,12,54,2,80
Wizard Islet North,8/22/2022,5.6,CMA,P8222708,47.57,35.68,20,88,,,13,10,63,2,88
Wizard Islet North,8/22/2022,5.6,CMA,P8222708,47.57,35.68,19,99,,,16,12,69,2,99
