"site_name","site_code","sitetype","size_class","total","year","month","visibility","depth","method","block","species_name","common_name","latitude","longitude","Project"
"Ross Islets Slug Island","KCCA1","Kelp","nosize",10,"2022","07",5,3.4,2,2,"Evasterias troschelii","Mottled starfish",48.87051773,-125.160347,"RLSsfu"
"Ross Islets Slug Island","KCCA1","Kelp","nosize",2,"2022","07",5,3.4,2,2,"Ceratostoma foliatum","Leafy hornmouth",48.87051773,-125.160347,"RLSsfu"
"Ross Islets Slug Island","KCCA1","Kelp","nosize",4,"2022","07",5,3.4,2,2,"Pisaster ochraceus","Purple sea star",48.87051773,-125.160347,"RLSsfu"
"Ross Islets Slug Island","KCCA1","Kelp","nosize",60,"2022","07",5,3.4,2,1,"Patiria miniata","Bat star",48.87051773,-125.160347,"RLSsfu"
"Ross Islets Slug Island","KCCA1","Kelp","nosize",10,"2022","07",5,3.4,2,1,"Orthasterias koehleri","Rainbow star",48.87051773,-125.160347,"RLSsfu"
"Ross Islets Slug Island","KCCA1","Kelp","nosize",190,"2022","07",5,3.4,2,1,"Mesocentrotus franciscanus","Red sea urchin",48.87051773,-125.160347,"RLSsfu"
"Ross Islets Slug Island","KCCA1","Kelp","nosize",24,"2022","07",5,3.4,2,1,"Haliotis kamtschatkana","Pinto abalone",48.87051773,-125.160347,"RLSsfu"
"Ross Islets Slug Island","KCCA1","Kelp","nosize",26,"2022","07",5,3.4,2,1,"Apostichopus californicus","California sea cucumber",48.87051773,-125.160347,"RLSsfu"
"Ross Islets Slug Island","KCCA1","Kelp","nosize",4,"2022","07",5,3.4,2,1,"Rhinogobiops nicholsii","Blackeye goby",48.87051773,-125.160347,"RLSsfu"
"Ross Islets Slug Island","KCCA1","Kelp","nosize",4,"2022","07",5,3.4,2,1,"Diodora aspera","Rough keyhole limpet",48.87051773,-125.160347,"RLSsfu"
"Ross Islets Slug Island","KCCA1","Kelp","nosize",4,"2022","07",5,3.4,2,1,"Acmaea mitra","Whitecap limpet",48.87051773,-125.160347,"RLSsfu"
"Ross Islets Slug Island","KCCA1","Kelp","7.5",2,"2022","07",5,3.4,2,1,"Crassadoma gigantea","Purple-hinged rock scallop",48.87051773,-125.160347,"RLSsfu"
"Ross Islets Slug Island","KCCA1","Kelp","12.5",1,"2022","07",5,3.4,2,1,"Crassadoma gigantea","Purple-hinged rock scallop",48.87051773,-125.160347,"RLSsfu"
"Ross Islets Slug Island","KCCA1","Kelp","15",1,"2022","07",5,3.4,2,1,"Crassadoma gigantea","Purple-hinged rock scallop",48.87051773,-125.160347,"RLSsfu"
"Ross Islets Slug Island","KCCA1","Kelp","20",1,"2022","07",5,3.4,2,1,"Crassadoma gigantea","Purple-hinged rock scallop",48.87051773,-125.160347,"RLSsfu"
"Ross Islets Slug Island","KCCA1","Kelp","nosize",9,"2022","07",5,3.4,2,1,"Ceratostoma foliatum","Leafy hornmouth",48.87051773,-125.160347,"RLSsfu"
"Ross Islets Slug Island","KCCA1","Kelp","nosize",39,"2022","07",5,3.4,2,1,"Pomaulax gibberosus","Red turban snail",48.87051773,-125.160347,"RLSsfu"
"Ross Islets Slug Island","KCCA1","Kelp","nosize",13,"2022","07",5,3.4,2,1,"Dermasterias imbricata","Leather star",48.87051773,-125.160347,"RLSsfu"
"Ross Islets Slug Island","KCCA1","Kelp","nosize",1,"2022","07",5,3.4,2,1,"Lottia scutum","Plate limpet",48.87051773,-125.160347,"RLSsfu"
"Ross Islets Slug Island","KCCA1","Kelp","12.5",1,"2022","07",5,3.4,2,1,"Pycnopodia helianthoides","Sunflower star",48.87051773,-125.160347,"RLSsfu"
"Ross Islets Slug Island","KCCA1","Kelp","nosize",1,"2022","07",5,3.4,2,1,"Henricia leviuscula","Pacific blood star",48.87051773,-125.160347,"RLSsfu"
"Ross Islets Slug Island","KCCA1","Kelp","nosize",1,"2022","07",5,3.4,2,1,"Pugettia producta","Northern kelp crab",48.87051773,-125.160347,"RLSsfu"
"Ross Islets Slug Island","KCCA1","Kelp","nosize",1,"2022","07",5,3.4,2,1,"Pisaster ochraceus","Purple sea star",48.87051773,-125.160347,"RLSsfu"
"Ross Islets Slug Island","KCCA1","Kelp","nosize",3,"2022","07",5,3.4,2,1,"Stylasterias forreri","Velcro seastar",48.87051773,-125.160347,"RLSsfu"
"Ross Islets Slug Island","KCCA1","Kelp","nosize",1,"2022","07",5,3.4,2,1,"Cancer productus","Red rock crab",48.87051773,-125.160347,"RLSsfu"
"Ross Islets Slug Island","KCCA1","Kelp","nosize",1,"2022","07",5,3.4,2,1,"Evasterias troschelii","Mottled starfish",48.87051773,-125.160347,"RLSsfu"
"Ross Islets Slug Island","KCCA1","Kelp","2.5",1,"2022","07",5,3.4,2,1,"Crassadoma gigantea","Purple-hinged rock scallop",48.87051773,-125.160347,"RLSsfu"
"Ross Islets Slug Island","KCCA1","Kelp","5",2,"2022","07",5,3.4,2,1,"Crassadoma gigantea","Purple-hinged rock scallop",48.87051773,-125.160347,"RLSsfu"
"Ross Islets Slug Island","KCCA1","Kelp","7.5",2,"2022","07",5,3.4,2,1,"Crassadoma gigantea","Purple-hinged rock scallop",48.87051773,-125.160347,"RLSsfu"
"Ross Islets Slug Island","KCCA1","Kelp","nosize",42,"2022","07",5,3.4,2,1,"Pomaulax gibberosus","Red turban snail",48.87051773,-125.160347,"RLSsfu"
"Ross Islets Slug Island","KCCA1","Kelp","nosize",1,"2022","07",5,3.4,2,1,"Paguroidea spp.","Unidentified hermit crab",48.87051773,-125.160347,"RLSsfu"
"Ross Islets Slug Island","KCCA1","Kelp","nosize",1,"2022","07",5,3.4,2,1,"Leptasterias hexactis","Six-rayed star",48.87051773,-125.160347,"RLSsfu"
"Between Scotts and Bradys","KCCA2","Kelp","nosize",178,"2022","07",3.5,3.1,2,2,"Mesocentrotus franciscanus","Red sea urchin",48.83287,-125.1493,"RLSsfu"
"Between Scotts and Bradys","KCCA2","Kelp","nosize",14,"2022","07",3.5,3.1,2,2,"Apostichopus californicus","California sea cucumber",48.83287,-125.1493,"RLSsfu"
"Between Scotts and Bradys","KCCA2","Kelp","nosize",38,"2022","07",3.5,3.1,2,2,"Patiria miniata","Bat star",48.83287,-125.1493,"RLSsfu"
"Between Scotts and Bradys","KCCA2","Kelp","nosize",4,"2022","07",3.5,3.1,2,2,"Paguroidea spp.","Unidentified hermit crab",48.83287,-125.1493,"RLSsfu"
"Between Scotts and Bradys","KCCA2","Kelp","nosize",3,"2022","07",3.5,3.1,2,2,"Ceratostoma foliatum","Leafy hornmouth",48.83287,-125.1493,"RLSsfu"
"Between Scotts and Bradys","KCCA2","Kelp","nosize",1,"2022","07",3.5,3.1,2,2,"Enteroctopus dofleini","Giant pacific octopus",48.83287,-125.1493,"RLSsfu"
"Between Scotts and Bradys","KCCA2","Kelp","nosize",3,"2022","07",3.5,3.1,2,2,"Diodora aspera","Rough keyhole limpet",48.83287,-125.1493,"RLSsfu"
"Between Scotts and Bradys","KCCA2","Kelp","nosize",13,"2022","07",3.5,3.1,2,2,"Strongylocentrotus purpuratus","Purple sea urchin",48.83287,-125.1493,"RLSsfu"
"Between Scotts and Bradys","KCCA2","Kelp","5",10,"2022","07",3.5,3.1,2,2,"Haliotis kamtschatkana","Pinto abalone",48.83287,-125.1493,"RLSsfu"
"Between Scotts and Bradys","KCCA2","Kelp","7.5",8,"2022","07",3.5,3.1,2,2,"Haliotis kamtschatkana","Pinto abalone",48.83287,-125.1493,"RLSsfu"
"Between Scotts and Bradys","KCCA2","Kelp","10",4,"2022","07",3.5,3.1,2,2,"Haliotis kamtschatkana","Pinto abalone",48.83287,-125.1493,"RLSsfu"
"Between Scotts and Bradys","KCCA2","Kelp","nosize",2,"2022","07",3.5,3.1,2,2,"Acmaea mitra","Whitecap limpet",48.83287,-125.1493,"RLSsfu"
"Between Scotts and Bradys","KCCA2","Kelp","nosize",2,"2022","07",3.5,3.1,2,2,"Pugettia producta","Northern kelp crab",48.83287,-125.1493,"RLSsfu"
"Between Scotts and Bradys","KCCA2","Kelp","nosize",4,"2022","07",3.5,3.1,2,2,"Dermasterias imbricata","Leather star",48.83287,-125.1493,"RLSsfu"
"Between Scotts and Bradys","KCCA2","Kelp","nosize",3,"2022","07",3.5,3.1,2,2,"Evasterias troschelii","Mottled starfish",48.83287,-125.1493,"RLSsfu"
"Between Scotts and Bradys","KCCA2","Kelp","nosize",8,"2022","07",3.5,3.1,2,2,"Pisaster ochraceus","Purple sea star",48.83287,-125.1493,"RLSsfu"
"Between Scotts and Bradys","KCCA2","Kelp","5",2,"2022","07",3.5,3.1,2,2,"Crassadoma gigantea","Purple-hinged rock scallop",48.83287,-125.1493,"RLSsfu"
"Between Scotts and Bradys","KCCA2","Kelp","7.5",1,"2022","07",3.5,3.1,2,2,"Crassadoma gigantea","Purple-hinged rock scallop",48.83287,-125.1493,"RLSsfu"
"Between Scotts and Bradys","KCCA2","Kelp","10",1,"2022","07",3.5,3.1,2,2,"Crassadoma gigantea","Purple-hinged rock scallop",48.83287,-125.1493,"RLSsfu"
"Between Scotts and Bradys","KCCA2","Kelp","nosize",1,"2022","07",3.5,3.1,2,2,"Cadlina luteomarginata","Yellow-edge cadlina",48.83287,-125.1493,"RLSsfu"
"Dodger Channel 1","KCCA3","Kelp","nosize",110,"2022","07",2,2.2,2,1,"Mesocentrotus franciscanus","Red sea urchin",48.83072,-125.19439,"RLSsfu"
"Dodger Channel 1","KCCA3","Kelp","nosize",92,"2022","07",2,2.2,2,1,"Pomaulax gibberosus","Red turban snail",48.83072,-125.19439,"RLSsfu"
"Dodger Channel 1","KCCA3","Kelp","nosize",19,"2022","07",2,2.2,2,1,"Apostichopus californicus","California sea cucumber",48.83072,-125.19439,"RLSsfu"
"Dodger Channel 1","KCCA3","Kelp","nosize",7,"2022","07",2,2.2,2,1,"Patiria miniata","Bat star",48.83072,-125.19439,"RLSsfu"
"Dodger Channel 1","KCCA3","Kelp","nosize",3,"2022","07",2,2.2,2,1,"Dermasterias imbricata","Leather star",48.83072,-125.19439,"RLSsfu"
"Dodger Channel 1","KCCA3","Kelp","nosize",2,"2022","07",2,2.2,2,1,"Cancer productus","Red rock crab",48.83072,-125.19439,"RLSsfu"
"Dodger Channel 1","KCCA3","Kelp","nosize",7,"2022","07",2,2.2,2,1,"Pugettia producta","Northern kelp crab",48.83072,-125.19439,"RLSsfu"
"Dodger Channel 1","KCCA3","Kelp","nosize",1,"2022","07",2,2.2,2,1,"Evasterias troschelii","Mottled starfish",48.83072,-125.19439,"RLSsfu"
"Dodger Channel 1","KCCA3","Kelp","2.5",1,"2022","07",2,2.2,2,1,"Haliotis kamtschatkana","Pinto abalone",48.83072,-125.19439,"RLSsfu"
"Dodger Channel 1","KCCA3","Kelp","5",1,"2022","07",2,2.2,2,1,"Haliotis kamtschatkana","Pinto abalone",48.83072,-125.19439,"RLSsfu"
"Dodger Channel 1","KCCA3","Kelp","nosize",1,"2022","07",2,2.2,2,1,"Ceratostoma foliatum","Leafy hornmouth",48.83072,-125.19439,"RLSsfu"
"Dodger Channel 1","KCCA3","Kelp","nosize",1,"2022","07",2,2.2,2,1,"Pugettia richii","Cryptic kelp crab",48.83072,-125.19439,"RLSsfu"
"Flemming 112","KCCA4","Kelp","nosize",126,"2022","07",2,3.4,2,1,"Pomaulax gibberosus","Red turban snail",48.87868,-125.1434,"RLSsfu"
"Flemming 112","KCCA4","Kelp","nosize",130,"2022","07",2,3.4,2,1,"Mesocentrotus franciscanus","Red sea urchin",48.87868,-125.1434,"RLSsfu"
"Flemming 112","KCCA4","Kelp","nosize",7,"2022","07",2,3.4,2,1,"Dermasterias imbricata","Leather star",48.87868,-125.1434,"RLSsfu"
"Flemming 112","KCCA4","Kelp","nosize",21,"2022","07",2,3.4,2,1,"Patiria miniata","Bat star",48.87868,-125.1434,"RLSsfu"
"Flemming 112","KCCA4","Kelp","nosize",4,"2022","07",2,3.4,2,1,"Peltodoris nobilis","Noble sea lemon",48.87868,-125.1434,"RLSsfu"
"Flemming 112","KCCA4","Kelp","2.5",1,"2022","07",2,3.4,2,1,"Crassadoma gigantea","Purple-hinged rock scallop",48.87868,-125.1434,"RLSsfu"
"Flemming 112","KCCA4","Kelp","5",2,"2022","07",2,3.4,2,1,"Crassadoma gigantea","Purple-hinged rock scallop",48.87868,-125.1434,"RLSsfu"
"Flemming 112","KCCA4","Kelp","10",1,"2022","07",2,3.4,2,1,"Crassadoma gigantea","Purple-hinged rock scallop",48.87868,-125.1434,"RLSsfu"
"Flemming 112","KCCA4","Kelp","12.5",1,"2022","07",2,3.4,2,1,"Crassadoma gigantea","Purple-hinged rock scallop",48.87868,-125.1434,"RLSsfu"
"Flemming 112","KCCA4","Kelp","15",1,"2022","07",2,3.4,2,1,"Crassadoma gigantea","Purple-hinged rock scallop",48.87868,-125.1434,"RLSsfu"
"Flemming 112","KCCA4","Kelp","nosize",4,"2022","07",2,3.4,2,1,"Acmaea mitra","Whitecap limpet",48.87868,-125.1434,"RLSsfu"
"Flemming 112","KCCA4","Kelp","nosize",9,"2022","07",2,3.4,2,1,"Apostichopus californicus","California sea cucumber",48.87868,-125.1434,"RLSsfu"
"Flemming 112","KCCA4","Kelp","nosize",1,"2022","07",2,3.4,2,1,"Pteraster tesselatus","Slime star",48.87868,-125.1434,"RLSsfu"
"Flemming 112","KCCA4","Kelp","nosize",1,"2022","07",2,3.4,2,1,"Octopus rubescens","East pacific red octopus",48.87868,-125.1434,"RLSsfu"
"Flemming 112","KCCA4","Kelp","nosize",1,"2022","07",2,3.4,2,1,"Acanthodoris hudsoni","Hudson's horned dorid",48.87868,-125.1434,"RLSsfu"
"Flemming 112","KCCA4","Kelp","nosize",5,"2022","07",2,3.4,2,1,"Diodora aspera","Rough keyhole limpet",48.87868,-125.1434,"RLSsfu"
"Flemming 112","KCCA4","Kelp","nosize",1,"2022","07",2,3.4,2,1,"Ceratostoma foliatum","Leafy hornmouth",48.87868,-125.1434,"RLSsfu"
"Flemming 112","KCCA4","Kelp","nosize",7,"2022","07",2,3.4,2,1,"Orthasterias koehleri","Rainbow star",48.87868,-125.1434,"RLSsfu"
"Flemming 112","KCCA4","Kelp","nosize",1,"2022","07",2,3.4,2,1,"Artedius harringtoni","Scalyhead sculpin",48.87868,-125.1434,"RLSsfu"
"Flemming 112","KCCA4","Kelp","nosize",1,"2022","07",2,3.4,2,1,"Paguroidea spp.","Unidentified hermit crab",48.87868,-125.1434,"RLSsfu"
"Flemming 112","KCCA4","Kelp","2.5",2,"2022","07",2,3.4,2,1,"Haliotis kamtschatkana","Pinto abalone",48.87868,-125.1434,"RLSsfu"
"Flemming 112","KCCA4","Kelp","5",2,"2022","07",2,3.4,2,1,"Haliotis kamtschatkana","Pinto abalone",48.87868,-125.1434,"RLSsfu"
"Flemming 112","KCCA4","Kelp","nosize",2,"2022","07",2,3.4,2,1,"Henricia leviuscula","Pacific blood star",48.87868,-125.1434,"RLSsfu"
"Flemming 112","KCCA4","Kelp","nosize",1,"2022","07",2,3.4,2,1,"Henricia pumila","Dwarf mottled henricia",48.87868,-125.1434,"RLSsfu"
"Flemming 112","KCCA4","Kelp","nosize",1,"2022","07",2,3.4,2,2,"Enteroctopus dofleini","Giant pacific octopus",48.87868,-125.1434,"RLSsfu"
"Flemming 112","KCCA4","Kelp","nosize",85,"2022","07",2,3.4,2,2,"Mesocentrotus franciscanus","Red sea urchin",48.87868,-125.1434,"RLSsfu"
"Flemming 112","KCCA4","Kelp","nosize",165,"2022","07",2,3.4,2,2,"Pomaulax gibberosus","Red turban snail",48.87868,-125.1434,"RLSsfu"
"Flemming 112","KCCA4","Kelp","nosize",10,"2022","07",2,3.4,2,2,"Apostichopus californicus","California sea cucumber",48.87868,-125.1434,"RLSsfu"
"Flemming 112","KCCA4","Kelp","nosize",3,"2022","07",2,3.4,2,2,"Stylasterias forreri","Velcro seastar",48.87868,-125.1434,"RLSsfu"
"Flemming 112","KCCA4","Kelp","nosize",1,"2022","07",2,3.4,2,2,"Chlamys hastata","Swimming scallop",48.87868,-125.1434,"RLSsfu"
"Flemming 112","KCCA4","Kelp","nosize",1,"2022","07",2,3.4,2,2,"Ceratostoma foliatum","Leafy hornmouth",48.87868,-125.1434,"RLSsfu"
"Flemming 112","KCCA4","Kelp","nosize",1,"2022","07",2,3.4,2,2,"Henricia leviuscula","Pacific blood star",48.87868,-125.1434,"RLSsfu"
"Flemming 112","KCCA4","Kelp","2.5",1,"2022","07",2,3.4,2,2,"Haliotis kamtschatkana","Pinto abalone",48.87868,-125.1434,"RLSsfu"
"Flemming 112","KCCA4","Kelp","5",4,"2022","07",2,3.4,2,2,"Haliotis kamtschatkana","Pinto abalone",48.87868,-125.1434,"RLSsfu"
"Flemming 112","KCCA4","Kelp","7.5",1,"2022","07",2,3.4,2,2,"Haliotis kamtschatkana","Pinto abalone",48.87868,-125.1434,"RLSsfu"
"Flemming 112","KCCA4","Kelp","nosize",4,"2022","07",2,3.4,2,2,"Peltodoris nobilis","Noble sea lemon",48.87868,-125.1434,"RLSsfu"
"Flemming 112","KCCA4","Kelp","nosize",6,"2022","07",2,3.4,2,2,"Acmaea mitra","Whitecap limpet",48.87868,-125.1434,"RLSsfu"
"Flemming 112","KCCA4","Kelp","7.5",1,"2022","07",2,3.4,2,2,"Crassadoma gigantea","Purple-hinged rock scallop",48.87868,-125.1434,"RLSsfu"
"Flemming 112","KCCA4","Kelp","10",2,"2022","07",2,3.4,2,2,"Crassadoma gigantea","Purple-hinged rock scallop",48.87868,-125.1434,"RLSsfu"
"Flemming 112","KCCA4","Kelp","12.5",1,"2022","07",2,3.4,2,2,"Crassadoma gigantea","Purple-hinged rock scallop",48.87868,-125.1434,"RLSsfu"
"Flemming 112","KCCA4","Kelp","nosize",8,"2022","07",2,3.4,2,2,"Dermasterias imbricata","Leather star",48.87868,-125.1434,"RLSsfu"
"Flemming 112","KCCA4","Kelp","nosize",15,"2022","07",2,3.4,2,2,"Patiria miniata","Bat star",48.87868,-125.1434,"RLSsfu"
"Flemming 112","KCCA4","Kelp","nosize",3,"2022","07",2,3.4,2,2,"Oregonia gracilis","Graceful decorator crab",48.87868,-125.1434,"RLSsfu"
"Flemming 112","KCCA4","Kelp","nosize",1,"2022","07",2,3.4,2,2,"Pteraster tesselatus","Slime star",48.87868,-125.1434,"RLSsfu"
"Flemming 112","KCCA4","Kelp","nosize",5,"2022","07",2,3.4,2,2,"Orthasterias koehleri","Rainbow star",48.87868,-125.1434,"RLSsfu"
"Flemming 112","KCCA4","Kelp","nosize",2,"2022","07",2,3.4,2,2,"Diodora aspera","Rough keyhole limpet",48.87868,-125.1434,"RLSsfu"
"Flemming 112","KCCA4","Kelp","nosize",1,"2022","07",2,3.4,2,2,"Diaulula odonoghuei","Leopard dorid",48.87868,-125.1434,"RLSsfu"
"Flemming 112","KCCA4","Kelp","nosize",1,"2022","07",2,3.4,2,2,"Henricia pumila","Dwarf mottled henricia",48.87868,-125.1434,"RLSsfu"
"Between Scotts and Bradys","KCCA2","Kelp","nosize",29,"2022","07",3.5,3.1,2,1,"Apostichopus californicus","California sea cucumber",48.83287,-125.1493,"RLSsfu"
"Between Scotts and Bradys","KCCA2","Kelp","nosize",120,"2022","07",3.5,3.1,2,1,"Mesocentrotus franciscanus","Red sea urchin",48.83287,-125.1493,"RLSsfu"
"Between Scotts and Bradys","KCCA2","Kelp","nosize",37,"2022","07",3.5,3.1,2,1,"Patiria miniata","Bat star",48.83287,-125.1493,"RLSsfu"
"Between Scotts and Bradys","KCCA2","Kelp","nosize",13,"2022","07",3.5,3.1,2,1,"Strongylocentrotus purpuratus","Purple sea urchin",48.83287,-125.1493,"RLSsfu"
"Between Scotts and Bradys","KCCA2","Kelp","5",3,"2022","07",3.5,3.1,2,1,"Haliotis kamtschatkana","Pinto abalone",48.83287,-125.1493,"RLSsfu"
"Between Scotts and Bradys","KCCA2","Kelp","7.5",5,"2022","07",3.5,3.1,2,1,"Haliotis kamtschatkana","Pinto abalone",48.83287,-125.1493,"RLSsfu"
"Between Scotts and Bradys","KCCA2","Kelp","10",7,"2022","07",3.5,3.1,2,1,"Haliotis kamtschatkana","Pinto abalone",48.83287,-125.1493,"RLSsfu"
"Between Scotts and Bradys","KCCA2","Kelp","12.5",5,"2022","07",3.5,3.1,2,1,"Haliotis kamtschatkana","Pinto abalone",48.83287,-125.1493,"RLSsfu"
"Between Scotts and Bradys","KCCA2","Kelp","nosize",5,"2022","07",3.5,3.1,2,1,"Pisaster ochraceus","Purple sea star",48.83287,-125.1493,"RLSsfu"
"Between Scotts and Bradys","KCCA2","Kelp","nosize",2,"2022","07",3.5,3.1,2,1,"Diodora aspera","Rough keyhole limpet",48.83287,-125.1493,"RLSsfu"
"Between Scotts and Bradys","KCCA2","Kelp","nosize",1,"2022","07",3.5,3.1,2,1,"Phyllolithodes papillosus","Heart crab",48.83287,-125.1493,"RLSsfu"
"Between Scotts and Bradys","KCCA2","Kelp","nosize",3,"2022","07",3.5,3.1,2,1,"Ceratostoma foliatum","Leafy hornmouth",48.83287,-125.1493,"RLSsfu"
"Between Scotts and Bradys","KCCA2","Kelp","nosize",1,"2022","07",3.5,3.1,2,1,"Pugettia gracilis","Graceful kelp crab",48.83287,-125.1493,"RLSsfu"
"Between Scotts and Bradys","KCCA2","Kelp","nosize",6,"2022","07",3.5,3.1,2,1,"Evasterias troschelii","Mottled starfish",48.83287,-125.1493,"RLSsfu"
"Between Scotts and Bradys","KCCA2","Kelp","nosize",3,"2022","07",3.5,3.1,2,1,"Dermasterias imbricata","Leather star",48.83287,-125.1493,"RLSsfu"
"Between Scotts and Bradys","KCCA2","Kelp","10",2,"2022","07",3.5,3.1,2,1,"Crassadoma gigantea","Purple-hinged rock scallop",48.83287,-125.1493,"RLSsfu"
"Between Scotts and Bradys","KCCA2","Kelp","12.5",1,"2022","07",3.5,3.1,2,1,"Crassadoma gigantea","Purple-hinged rock scallop",48.83287,-125.1493,"RLSsfu"
"Between Scotts and Bradys","KCCA2","Kelp","nosize",1,"2022","07",3.5,3.1,2,1,"Romaleon antennarium","California rock crab",48.83287,-125.1493,"RLSsfu"
"Between Scotts and Bradys","KCCA2","Kelp","nosize",3,"2022","07",3.5,3.1,2,1,"Acmaea mitra","Whitecap limpet",48.83287,-125.1493,"RLSsfu"
"Between Scotts and Bradys","KCCA2","Kelp","nosize",1,"2022","07",3.5,3.1,2,1,"Pugettia producta","Northern kelp crab",48.83287,-125.1493,"RLSsfu"
"Between Scotts and Bradys","KCCA2","Kelp","nosize",3,"2022","07",3.5,3.1,2,1,"Artedius harringtoni","Scalyhead sculpin",48.83287,-125.1493,"RLSsfu"
"Between Scotts and Bradys","KCCA2","Kelp","nosize",3,"2022","07",3.5,3.1,2,1,"Pomaulax gibberosus","Red turban snail",48.83287,-125.1493,"RLSsfu"
"Between Scotts and Bradys","KCCA2","Kelp","nosize",1,"2022","07",3.5,3.1,2,1,"Henricia spp.","Unidentified blood star",48.83287,-125.1493,"RLSsfu"
"Dodger Channel 1","KCCA3","Kelp","nosize",1,"2022","07",2,2.2,2,2,"Orthasterias koehleri","Rainbow star",48.83072,-125.19439,"RLSsfu"
"Dodger Channel 1","KCCA3","Kelp","nosize",49,"2022","07",2,2.2,2,2,"Pomaulax gibberosus","Red turban snail",48.83072,-125.19439,"RLSsfu"
"Dodger Channel 1","KCCA3","Kelp","nosize",105,"2022","07",2,2.2,2,2,"Mesocentrotus franciscanus","Red sea urchin",48.83072,-125.19439,"RLSsfu"
"Dodger Channel 1","KCCA3","Kelp","5",1,"2022","07",2,2.2,2,2,"Haliotis kamtschatkana","Pinto abalone",48.83072,-125.19439,"RLSsfu"
"Dodger Channel 1","KCCA3","Kelp","7.5",2,"2022","07",2,2.2,2,2,"Haliotis kamtschatkana","Pinto abalone",48.83072,-125.19439,"RLSsfu"
"Dodger Channel 1","KCCA3","Kelp","nosize",4,"2022","07",2,2.2,2,2,"Dermasterias imbricata","Leather star",48.83072,-125.19439,"RLSsfu"
"Dodger Channel 1","KCCA3","Kelp","nosize",16,"2022","07",2,2.2,2,2,"Apostichopus californicus","California sea cucumber",48.83072,-125.19439,"RLSsfu"
"Dodger Channel 1","KCCA3","Kelp","nosize",3,"2022","07",2,2.2,2,2,"Pugettia gracilis","Graceful kelp crab",48.83072,-125.19439,"RLSsfu"
"Dodger Channel 1","KCCA3","Kelp","nosize",2,"2022","07",2,2.2,2,2,"Ceratostoma foliatum","Leafy hornmouth",48.83072,-125.19439,"RLSsfu"
"Dodger Channel 1","KCCA3","Kelp","nosize",14,"2022","07",2,2.2,2,2,"Patiria miniata","Bat star",48.83072,-125.19439,"RLSsfu"
"Dodger Channel 1","KCCA3","Kelp","nosize",1,"2022","07",2,2.2,2,2,"Cancer productus","Red rock crab",48.83072,-125.19439,"RLSsfu"
"Dodger Channel 1","KCCA3","Kelp","nosize",3,"2022","07",2,2.2,2,2,"Pugettia producta","Northern kelp crab",48.83072,-125.19439,"RLSsfu"
"Dodger Channel 1","KCCA3","Kelp","7.5",1,"2022","07",2,2.2,2,2,"Crassadoma gigantea","Purple-hinged rock scallop",48.83072,-125.19439,"RLSsfu"
"Dodger Channel 1","KCCA3","Kelp","nosize",2,"2022","07",2,2.2,2,2,"Pisaster ochraceus","Purple sea star",48.83072,-125.19439,"RLSsfu"
"Swiss Boy","KCCA5","Kelp","nosize",17,"2022","07",3.5,4,2,2,"Dermasterias imbricata","Leather star",48.916073,-125.131174,"RLSsfu"
